number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/001.mp3;00:47
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/002.mp3;02:10:35
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/003.mp3;01:20:12
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/004.mp3;01:20:04
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/005.mp3;01:00:26
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/006.mp3;01:03:38
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/007.mp3;01:15:05
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/008.mp3;27:26
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/009.mp3;55:24
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/010.mp3;39:10
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/011.mp3;40:09
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/012.mp3;35:56
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/013.mp3;17:49
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/014.mp3;19:53
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/015.mp3;13:43
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/016.mp3;40:53
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/017.mp3;36:28
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/018.mp3;36:37
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/019.mp3;24:14
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/020.mp3;29:21
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/021.mp3;29:24
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/022.mp3;30:28
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/023.mp3;25:33
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/024.mp3;29:17
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/025.mp3;19:22
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/026.mp3;27:25
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/027.mp3;22:15
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/028.mp3;32:35
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/029.mp3;20:31
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/030.mp3;18:15
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/031.mp3;12:29
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/032.mp3;08:36
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/033.mp3;30:58
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/034.mp3;18:26
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/035.mp3;18:39
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/036.mp3;16:13
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/037.mp3;20:32
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/038.mp3;17:25
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/039.mp3;26:31
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/040.mp3;29:38
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/041.mp3;19:08
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/042.mp3;17:08
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/043.mp3;19:45
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/044.mp3;09:16
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/045.mp3;10:07
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/046.mp3;13:58
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/047.mp3;13:37
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/048.mp3;12:02
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/049.mp3;07:54
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/050.mp3;10:54
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/051.mp3;08:12
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/052.mp3;06:45
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abdulmun3im_abdulmubdi2/053.mp3;08:23
