id,reader,number,name,read_surat_link,download_surat_link,surat_time
,18,1,Surat  Al-Fatihah,https://www.quran.com/1,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/001.mp3,00:24
,18,2,Surat  Al-Baqarah,https://www.quran.com/2,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/002.mp3,01:26:20
,18,3,Surat  Ali 'Imran,https://www.quran.com/3,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/003.mp3,51:40
,18,4,Surat  An-Nisa,https://www.quran.com/4,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/004.mp3,49:52
,18,5,Surat  Al-Ma'idah,https://www.quran.com/5,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/005.mp3,38:39
,18,6,Surat  Al-An'am,https://www.quran.com/6,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/006.mp3,40:04
,18,7,Surat  Al-A'raf,https://www.quran.com/7,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/007.mp3,48:59
,18,8,Surat  Al-Anfal,https://www.quran.com/8,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/008.mp3,18:32
,18,9,Surat  At-Tawbah,https://www.quran.com/9,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/009.mp3,37:09
,18,10,Surat  Yunus,https://www.quran.com/10,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/010.mp3,25:15
,18,11,Surat  Hud,https://www.quran.com/11,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/011.mp3,27:33
,18,12,Surat  Yusuf,https://www.quran.com/12,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/012.mp3,27:39
,18,13,Surat  Ar-Ra'd,https://www.quran.com/13,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/013.mp3,14:33
,18,14,Surat  Ibrahim,https://www.quran.com/14,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/014.mp3,14:30
,18,15,Surat  Al-Hijr,https://www.quran.com/15,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/015.mp3,09:53
,18,16,Surat  An-Nahl,https://www.quran.com/16,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/016.mp3,24:37
,18,17,Surat  Al-Isra,https://www.quran.com/17,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/017.mp3,23:41
,18,18,Surat  Al-Kahf,https://www.quran.com/18,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/018.mp3,21:38
,18,19,Surat  Maryam,https://www.quran.com/19,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/019.mp3,14:32
,18,20,Surat  Taha,https://www.quran.com/20,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/020.mp3,18:36
,18,21,Surat  Al-Anbya,https://www.quran.com/21,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/021.mp3,19:15
,18,22,Surat  Al-Haj,https://www.quran.com/22,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/022.mp3,20:35
,18,23,Surat  Al-Mu'minun,https://www.quran.com/23,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/023.mp3,19:02
,18,24,Surat  An-Nur,https://www.quran.com/24,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/024.mp3,21:11
,18,25,Surat  Al-Furqan,https://www.quran.com/25,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/025.mp3,16:50
,18,26,Surat  Ash-Shu'ara,https://www.quran.com/26,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/026.mp3,22:39
,18,27,Surat  An-Naml,https://www.quran.com/27,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/027.mp3,21:55
,18,28,Surat  Al-Qasas,https://www.quran.com/28,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/028.mp3,21:48
,18,29,Surat  Al-'Ankabut,https://www.quran.com/29,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/029.mp3,15:45
,18,30,Surat  Ar-Rum,https://www.quran.com/30,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/030.mp3,12:47
,18,31,Surat  Luqman,https://www.quran.com/31,https://download.quranicaudio.com/quran/abdulazeez_al-ahmad/031.mp3,09:30
