id,reader,number,name,read_surat_link,download_surat_link,surat_time
,16,1,Surat  Al-Fatihah,https://www.quran.com/1,https://download.quranicaudio.com/quran/thubaity/001.mp3,00:43
,16,2,Surat  Al-Baqarah,https://www.quran.com/2,https://download.quranicaudio.com/quran/thubaity/002.mp3,01:30:00
,16,3,Surat  Ali 'Imran,https://www.quran.com/3,https://download.quranicaudio.com/quran/thubaity/003.mp3,52:03
,16,4,Surat  An-Nisa,https://www.quran.com/4,https://download.quranicaudio.com/quran/thubaity/004.mp3,55:06
,16,5,Surat  Al-Ma'idah,https://www.quran.com/5,https://download.quranicaudio.com/quran/thubaity/005.mp3,38:48
,16,6,Surat  Al-An'am,https://www.quran.com/6,https://download.quranicaudio.com/quran/thubaity/006.mp3,46:40
,16,7,Surat  Al-A'raf,https://www.quran.com/7,https://download.quranicaudio.com/quran/thubaity/007.mp3,49:08
,16,8,Surat  Al-Anfal,https://www.quran.com/8,https://download.quranicaudio.com/quran/thubaity/008.mp3,18:55
,16,9,Surat  At-Tawbah,https://www.quran.com/9,https://download.quranicaudio.com/quran/thubaity/009.mp3,40:34
,16,10,Surat  Yunus,https://www.quran.com/10,https://download.quranicaudio.com/quran/thubaity/010.mp3,26:11
,16,11,Surat  Hud,https://www.quran.com/11,https://download.quranicaudio.com/quran/thubaity/011.mp3,30:16
,16,12,Surat  Yusuf,https://www.quran.com/12,https://download.quranicaudio.com/quran/thubaity/012.mp3,25:50
,16,13,Surat  Ar-Ra'd,https://www.quran.com/13,https://download.quranicaudio.com/quran/thubaity/013.mp3,12:55
,16,14,Surat  Ibrahim,https://www.quran.com/14,https://download.quranicaudio.com/quran/thubaity/014.mp3,12:22
,16,15,Surat  Al-Hijr,https://www.quran.com/15,https://download.quranicaudio.com/quran/thubaity/015.mp3,10:49
,16,16,Surat  An-Nahl,https://www.quran.com/16,https://download.quranicaudio.com/quran/thubaity/016.mp3,29:23
,16,17,Surat  Al-Isra,https://www.quran.com/17,https://download.quranicaudio.com/quran/thubaity/017.mp3,21:54
,16,18,Surat  Al-Kahf,https://www.quran.com/18,https://download.quranicaudio.com/quran/thubaity/018.mp3,24:22
,16,19,Surat  Maryam,https://www.quran.com/19,https://download.quranicaudio.com/quran/thubaity/019.mp3,12:29
,16,20,Surat  Taha,https://www.quran.com/20,https://download.quranicaudio.com/quran/thubaity/020.mp3,19:13
,16,21,Surat  Al-Anbya,https://www.quran.com/21,https://download.quranicaudio.com/quran/thubaity/021.mp3,17:13
,16,22,Surat  Al-Haj,https://www.quran.com/22,https://download.quranicaudio.com/quran/thubaity/022.mp3,18:58
,16,23,Surat  Al-Mu'minun,https://www.quran.com/23,https://download.quranicaudio.com/quran/thubaity/023.mp3,16:08
,16,24,Surat  An-Nur,https://www.quran.com/24,https://download.quranicaudio.com/quran/thubaity/024.mp3,20:46
,16,25,Surat  Al-Furqan,https://www.quran.com/25,https://download.quranicaudio.com/quran/thubaity/025.mp3,13:43
,16,26,Surat  Ash-Shu'ara,https://www.quran.com/26,https://download.quranicaudio.com/quran/thubaity/026.mp3,20:26
,16,27,Surat  An-Naml,https://www.quran.com/27,https://download.quranicaudio.com/quran/thubaity/027.mp3,17:33
,16,28,Surat  Al-Qasas,https://www.quran.com/28,https://download.quranicaudio.com/quran/thubaity/028.mp3,22:25
,16,29,Surat  Al-'Ankabut,https://www.quran.com/29,https://download.quranicaudio.com/quran/thubaity/029.mp3,14:05
,16,30,Surat  Ar-Rum,https://www.quran.com/30,https://download.quranicaudio.com/quran/thubaity/030.mp3,12:55
,16,31,Surat  Luqman,https://www.quran.com/31,https://download.quranicaudio.com/quran/thubaity/031.mp3,07:51
,16,32,Surat  As-Sajdah,https://www.quran.com/32,https://download.quranicaudio.com/quran/thubaity/032.mp3,05:35
,16,33,Surat  Al-Ahzab,https://www.quran.com/33,https://download.quranicaudio.com/quran/thubaity/033.mp3,20:30
,16,34,Surat  Saba,https://www.quran.com/34,https://download.quranicaudio.com/quran/thubaity/034.mp3,12:32
,16,35,Surat  Fatir,https://www.quran.com/35,https://download.quranicaudio.com/quran/thubaity/035.mp3,11:32
,16,36,Surat  Ya-Sin,https://www.quran.com/36,https://download.quranicaudio.com/quran/thubaity/036.mp3,10:55
,16,37,Surat  As-Saffat,https://www.quran.com/37,https://download.quranicaudio.com/quran/thubaity/037.mp3,15:06
,16,38,Surat  Sad,https://www.quran.com/38,https://download.quranicaudio.com/quran/thubaity/038.mp3,11:34
,16,39,Surat  Az-Zumar,https://www.quran.com/39,https://download.quranicaudio.com/quran/thubaity/039.mp3,18:02
,16,40,Surat  Ghafir,https://www.quran.com/40,https://download.quranicaudio.com/quran/thubaity/040.mp3,19:18
,16,41,Surat  Fussilat,https://www.quran.com/41,https://download.quranicaudio.com/quran/thubaity/041.mp3,12:48
