id,reader,number,name,read_surat_link,download_surat_link,surat_time
,22,1,Surat  Al-Fatihah,https://www.quran.com/1,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/001.mp3,01:39
,22,2,Surat  Al-Baqarah,https://www.quran.com/2,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/002.mp3,04:24:09
,22,3,Surat  Ali 'Imran,https://www.quran.com/3,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/003.mp3,02:35:42
,22,4,Surat  An-Nisa,https://www.quran.com/4,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/004.mp3,02:47:55
,22,5,Surat  Al-Ma'idah,https://www.quran.com/5,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/005.mp3,02:11:21
,22,6,Surat  Al-An'am,https://www.quran.com/6,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/006.mp3,02:20:08
,22,7,Surat  Al-A'raf,https://www.quran.com/7,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/007.mp3,02:35:34
,22,8,Surat  Al-Anfal,https://www.quran.com/8,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/008.mp3,57:01
,22,9,Surat  At-Tawbah,https://www.quran.com/9,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/009.mp3,01:53:20
,22,10,Surat  Yunus,https://www.quran.com/10,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/010.mp3,01:20:34
,22,11,Surat  Hud,https://www.quran.com/11,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/011.mp3,01:28:37
,22,12,Surat  Yusuf,https://www.quran.com/12,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/012.mp3,01:21:58
,22,13,Surat  Ar-Ra'd,https://www.quran.com/13,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/013.mp3,38:57
,22,14,Surat  Ibrahim,https://www.quran.com/14,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/014.mp3,39:51
,22,15,Surat  Al-Hijr,https://www.quran.com/15,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/015.mp3,35:23
,22,16,Surat  An-Nahl,https://www.quran.com/16,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/016.mp3,01:27:16
,22,17,Surat  Al-Isra,https://www.quran.com/17,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/017.mp3,01:08:51
,22,18,Surat  Al-Kahf,https://www.quran.com/18,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/018.mp3,01:09:56
,22,19,Surat  Maryam,https://www.quran.com/19,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/019.mp3,42:50
,22,20,Surat  Taha,https://www.quran.com/20,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/020.mp3,59:41
,22,21,Surat  Al-Anbya,https://www.quran.com/21,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/021.mp3,56:49
,22,22,Surat  Al-Haj,https://www.quran.com/22,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/022.mp3,58:16
,22,23,Surat  Al-Mu'minun,https://www.quran.com/23,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/023.mp3,51:19
,22,24,Surat  An-Nur,https://www.quran.com/24,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/024.mp3,01:04:37
,22,25,Surat  Al-Furqan,https://www.quran.com/25,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/025.mp3,41:22
,22,26,Surat  Ash-Shu'ara,https://www.quran.com/26,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/026.mp3,01:11:34
,22,27,Surat  An-Naml,https://www.quran.com/27,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/027.mp3,53:13
,22,28,Surat  Al-Qasas,https://www.quran.com/28,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/028.mp3,01:04:59
,22,29,Surat  Al-'Ankabut,https://www.quran.com/29,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/029.mp3,48:00
,22,30,Surat  Ar-Rum,https://www.quran.com/30,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/030.mp3,01:01:01
,22,31,Surat  Luqman,https://www.quran.com/31,https://download.quranicaudio.com/quran/abdulbaset_mujawwad/031.mp3,23:20
