id,reader,number,name,read_surat_link,download_surat_link,surat_time
,19,1,Surat  Al-Fatihah,https://www.quran.com/1,https://download.quranicaudio.com/quran/abdul_basit_murattal/001.mp3,00:46
,19,2,Surat  Al-Baqarah,https://www.quran.com/2,https://download.quranicaudio.com/quran/abdul_basit_murattal/002.mp3,02:41:30
,19,3,Surat  Ali 'Imran,https://www.quran.com/3,https://download.quranicaudio.com/quran/abdul_basit_murattal/003.mp3,01:27:48
,19,4,Surat  An-Nisa,https://www.quran.com/4,https://download.quranicaudio.com/quran/abdul_basit_murattal/004.mp3,01:28:02
,19,5,Surat  Al-Ma'idah,https://www.quran.com/5,https://download.quranicaudio.com/quran/abdul_basit_murattal/005.mp3,01:07:44
,19,6,Surat  Al-An'am,https://www.quran.com/6,https://download.quranicaudio.com/quran/abdul_basit_murattal/006.mp3,01:20:59
,19,7,Surat  Al-A'raf,https://www.quran.com/7,https://download.quranicaudio.com/quran/abdul_basit_murattal/007.mp3,01:35:02
,19,8,Surat  Al-Anfal,https://www.quran.com/8,https://download.quranicaudio.com/quran/abdul_basit_murattal/008.mp3,27:47
,19,9,Surat  At-Tawbah,https://www.quran.com/9,https://download.quranicaudio.com/quran/abdul_basit_murattal/009.mp3,54:36
,19,10,Surat  Yunus,https://www.quran.com/10,https://download.quranicaudio.com/quran/abdul_basit_murattal/010.mp3,39:39
,19,11,Surat  Hud,https://www.quran.com/11,https://download.quranicaudio.com/quran/abdul_basit_murattal/011.mp3,40:40
,19,12,Surat  Yusuf,https://www.quran.com/12,https://download.quranicaudio.com/quran/abdul_basit_murattal/012.mp3,36:45
,19,13,Surat  Ar-Ra'd,https://www.quran.com/13,https://download.quranicaudio.com/quran/abdul_basit_murattal/013.mp3,17:46
,19,14,Surat  Ibrahim,https://www.quran.com/14,https://download.quranicaudio.com/quran/abdul_basit_murattal/014.mp3,16:53
,19,15,Surat  Al-Hijr,https://www.quran.com/15,https://download.quranicaudio.com/quran/abdul_basit_murattal/015.mp3,13:54
,19,16,Surat  An-Nahl,https://www.quran.com/16,https://download.quranicaudio.com/quran/abdul_basit_murattal/016.mp3,41:06
,19,17,Surat  Al-Isra,https://www.quran.com/17,https://download.quranicaudio.com/quran/abdul_basit_murattal/017.mp3,37:05
,19,18,Surat  Al-Kahf,https://www.quran.com/18,https://download.quranicaudio.com/quran/abdul_basit_murattal/018.mp3,38:51
,19,19,Surat  Maryam,https://www.quran.com/19,https://download.quranicaudio.com/quran/abdul_basit_murattal/019.mp3,23:27
,19,20,Surat  Taha,https://www.quran.com/20,https://download.quranicaudio.com/quran/abdul_basit_murattal/020.mp3,31:53
,19,21,Surat  Al-Anbya,https://www.quran.com/21,https://download.quranicaudio.com/quran/abdul_basit_murattal/021.mp3,30:30
,19,22,Surat  Al-Haj,https://www.quran.com/22,https://download.quranicaudio.com/quran/abdul_basit_murattal/022.mp3,31:09
,19,23,Surat  Al-Mu'minun,https://www.quran.com/23,https://download.quranicaudio.com/quran/abdul_basit_murattal/023.mp3,25:37
,19,24,Surat  An-Nur,https://www.quran.com/24,https://download.quranicaudio.com/quran/abdul_basit_murattal/024.mp3,27:35
,19,25,Surat  Al-Furqan,https://www.quran.com/25,https://download.quranicaudio.com/quran/abdul_basit_murattal/025.mp3,16:54
,19,26,Surat  Ash-Shu'ara,https://www.quran.com/26,https://download.quranicaudio.com/quran/abdul_basit_murattal/026.mp3,30:52
,19,27,Surat  An-Naml,https://www.quran.com/27,https://download.quranicaudio.com/quran/abdul_basit_murattal/027.mp3,31:10
,19,28,Surat  Al-Qasas,https://www.quran.com/28,https://download.quranicaudio.com/quran/abdul_basit_murattal/028.mp3,37:29
,19,29,Surat  Al-'Ankabut,https://www.quran.com/29,https://download.quranicaudio.com/quran/abdul_basit_murattal/029.mp3,24:47
,19,30,Surat  Ar-Rum,https://www.quran.com/30,https://download.quranicaudio.com/quran/abdul_basit_murattal/030.mp3,19:37
,19,31,Surat  Luqman,https://www.quran.com/31,https://download.quranicaudio.com/quran/abdul_basit_murattal/031.mp3,10:15
,19,32,Surat  As-Sajdah,https://www.quran.com/32,https://download.quranicaudio.com/quran/abdul_basit_murattal/032.mp3,07:28
,19,33,Surat  Al-Ahzab,https://www.quran.com/33,https://download.quranicaudio.com/quran/abdul_basit_murattal/033.mp3,26:34
,19,34,Surat  Saba,https://www.quran.com/34,https://download.quranicaudio.com/quran/abdul_basit_murattal/034.mp3,17:11
,19,35,Surat  Fatir,https://www.quran.com/35,https://download.quranicaudio.com/quran/abdul_basit_murattal/035.mp3,16:11
,19,36,Surat  Ya-Sin,https://www.quran.com/36,https://download.quranicaudio.com/quran/abdul_basit_murattal/036.mp3,14:31
,19,37,Surat  As-Saffat,https://www.quran.com/37,https://download.quranicaudio.com/quran/abdul_basit_murattal/037.mp3,19:01
,19,38,Surat  Sad,https://www.quran.com/38,https://download.quranicaudio.com/quran/abdul_basit_murattal/038.mp3,16:34
,19,39,Surat  Az-Zumar,https://www.quran.com/39,https://download.quranicaudio.com/quran/abdul_basit_murattal/039.mp3,28:35
,19,40,Surat  Ghafir,https://www.quran.com/40,https://download.quranicaudio.com/quran/abdul_basit_murattal/040.mp3,28:18
,19,41,Surat  Fussilat,https://www.quran.com/41,https://download.quranicaudio.com/quran/abdul_basit_murattal/041.mp3,20:09
,19,42,Surat  Ash-Shuraa,https://www.quran.com/42,https://download.quranicaudio.com/quran/abdul_basit_murattal/042.mp3,21:35
,19,43,Surat  Az-Zukhruf,https://www.quran.com/43,https://download.quranicaudio.com/quran/abdul_basit_murattal/043.mp3,22:07
,19,44,Surat  Ad-Dukhan,https://www.quran.com/44,https://download.quranicaudio.com/quran/abdul_basit_murattal/044.mp3,09:06
,19,45,Surat  Al-Jathiyah,https://www.quran.com/45,https://download.quranicaudio.com/quran/abdul_basit_murattal/045.mp3,12:36
,19,46,Surat  Al-Ahqaf,https://www.quran.com/46,https://download.quranicaudio.com/quran/abdul_basit_murattal/046.mp3,16:54
,19,47,Surat  Muhammad,https://www.quran.com/47,https://download.quranicaudio.com/quran/abdul_basit_murattal/047.mp3,14:04
,19,48,Surat  Al-Fath,https://www.quran.com/48,https://download.quranicaudio.com/quran/abdul_basit_murattal/048.mp3,13:25
,19,49,Surat  Al-Hujurat,https://www.quran.com/49,https://download.quranicaudio.com/quran/abdul_basit_murattal/049.mp3,08:24
,19,50,Surat  Qaf,https://www.quran.com/50,https://download.quranicaudio.com/quran/abdul_basit_murattal/050.mp3,08:15
,19,51,Surat  Adh-Dhariyat,https://www.quran.com/51,https://download.quranicaudio.com/quran/abdul_basit_murattal/051.mp3,08:57
