number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/001.mp3;00:42
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/002.mp3;01:33:29
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/003.mp3;56:36
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/004.mp3;01:00:41
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/005.mp3;43:35
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/006.mp3;48:40
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/007.mp3;51:57
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/008.mp3;20:40
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/009.mp3;39:55
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/010.mp3;29:00
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/011.mp3;30:57
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/012.mp3;27:31
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/013.mp3;13:07
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/014.mp3;14:08
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/015.mp3;10:34
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/016.mp3;28:41
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/017.mp3;23:17
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/018.mp3;23:46
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/019.mp3;14:22
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/020.mp3;18:13
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/021.mp3;19:37
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/022.mp3;17:41
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/023.mp3;18:18
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/024.mp3;22:27
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/025.mp3;12:44
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/026.mp3;19:38
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/027.mp3;15:43
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/028.mp3;22:58
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/029.mp3;15:08
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/030.mp3;11:18
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/031.mp3;08:02
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/032.mp3;05:36
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/033.mp3;23:34
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/035.mp3;12:52
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/036.mp3;11:18
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/037.mp3;13:37
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/038.mp3;11:43
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/039.mp3;18:16
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/040.mp3;21:22
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/041.mp3;13:23
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/042.mp3;13:34
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/043.mp3;13:43
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/044.mp3;05:48
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/045.mp3;07:43
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/046.mp3;10:33
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/047.mp3;08:52
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/048.mp3;09:40
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/049.mp3;05:51
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/050.mp3;05:50
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/051.mp3;05:54
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/052.mp3;05:00
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/053.mp3;05:50
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/054.mp3;06:05
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/055.mp3;07:49
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/056.mp3;07:20
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/057.mp3;09:02
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/058.mp3;07:37
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/059.mp3;07:28
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/060.mp3;06:02
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/061.mp3;03:40
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/062.mp3;02:45
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/063.mp3;03:06
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/abdul_muhsin_alqasim/064.mp3;04:02
