number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/001.mp3;00:42
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/002.mp3;01:38:56
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/003.mp3;58:12
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/004.mp3;01:02:02
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/005.mp3;45:29
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/006.mp3;48:24
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/007.mp3;53:57
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/008.mp3;20:08
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/009.mp3;41:56
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/010.mp3;28:52
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/011.mp3;30:45
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/012.mp3;27:50
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/013.mp3;14:18
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/014.mp3;14:36
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/015.mp3;10:46
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/016.mp3;30:13
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdul_wadood_haneef_rare/017.mp3;25:44
