number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/ali_jaber/001.mp3;01:03
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/ali_jaber/002.mp3;02:10:36
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/ali_jaber/003.mp3;01:14:28
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/ali_jaber/004.mp3;01:18:09
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/ali_jaber/005.mp3;55:05
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/ali_jaber/006.mp3;59:36
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/ali_jaber/007.mp3;01:05:06
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/ali_jaber/008.mp3;25:15
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/ali_jaber/009.mp3;50:46
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/ali_jaber/010.mp3;37:37
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/ali_jaber/011.mp3;37:10
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/ali_jaber/012.mp3;34:47
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/ali_jaber/013.mp3;17:05
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/ali_jaber/014.mp3;16:40
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/ali_jaber/015.mp3;14:24
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/ali_jaber/016.mp3;36:25
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/ali_jaber/017.mp3;29:23
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/ali_jaber/018.mp3;29:04
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/ali_jaber/019.mp3;18:20
