number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/001.mp3;00:43
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/002.mp3;01:39:32
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/003.mp3;52:16
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/004.mp3;01:02:26
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/005.mp3;48:17
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/006.mp3;45:14
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/007.mp3;57:15
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/008.mp3;20:39
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/009.mp3;39:37
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/010.mp3;26:47
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/011.mp3;28:13
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/012.mp3;26:17
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/013.mp3;13:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/014.mp3;10:36
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/015.mp3;10:13
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/016.mp3;26:01
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/017.mp3;21:34
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/018.mp3;21:11
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/019.mp3;15:02
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/020.mp3;20:39
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/021.mp3;17:19
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/022.mp3;20:53
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/023.mp3;17:03
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/024.mp3;21:31
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/025.mp3;14:47
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/026.mp3;20:43
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/027.mp3;17:29
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/028.mp3;22:35
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/029.mp3;15:59
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/030.mp3;12:27
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/031.mp3;07:54
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/032.mp3;05:08
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/033.mp3;21:19
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/034.mp3;13:45
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/035.mp3;13:09
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/036.mp3;11:53
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/037.mp3;13:54
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/038.mp3;10:55
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/039.mp3;17:58
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/040.mp3;18:45
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/041.mp3;13:15
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/042.mp3;13:43
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/043.mp3;13:17
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/044.mp3;05:33
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/045.mp3;06:53
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/046.mp3;09:34
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/047.mp3;08:37
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/048.mp3;08:33
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/049.mp3;04:53
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/050.mp3;05:22
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/051.mp3;05:11
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdullaah_3awwaad_al-juhaynee/052.mp3;05:05
