number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdullaah_basfar/001.mp3;00:49
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdullaah_basfar/002.mp3;01:59:11
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdullaah_basfar/003.mp3;01:11:47
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdullaah_basfar/004.mp3;01:15:33
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdullaah_basfar/005.mp3;56:20
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdullaah_basfar/006.mp3;01:01:24
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdullaah_basfar/007.mp3;01:07:04
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdullaah_basfar/008.mp3;25:35
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdullaah_basfar/009.mp3;49:02
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdullaah_basfar/010.mp3;32:22
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdullaah_basfar/011.mp3;34:40
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdullaah_basfar/012.mp3;33:57
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdullaah_basfar/013.mp3;15:17
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdullaah_basfar/014.mp3;16:06
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdullaah_basfar/015.mp3;11:25
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdullaah_basfar/016.mp3;32:13
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdullaah_basfar/017.mp3;29:39
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdullaah_basfar/018.mp3;29:58
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdullaah_basfar/019.mp3;18:56
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdullaah_basfar/020.mp3;24:17
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdullaah_basfar/021.mp3;21:35
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdullaah_basfar/022.mp3;25:21
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdullaah_basfar/023.mp3;20:01
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdullaah_basfar/024.mp3;26:08
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdullaah_basfar/025.mp3;17:14
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdullaah_basfar/026.mp3;24:33
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdullaah_basfar/027.mp3;22:46
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdullaah_basfar/028.mp3;27:03
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdullaah_basfar/029.mp3;18:45
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdullaah_basfar/030.mp3;15:13
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdullaah_basfar/031.mp3;10:18
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdullaah_basfar/032.mp3;08:03
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdullaah_basfar/033.mp3;26:14
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdullaah_basfar/034.mp3;16:41
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdullaah_basfar/035.mp3;16:12
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdullaah_basfar/036.mp3;14:03
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdullaah_basfar/037.mp3;17:36
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdullaah_basfar/038.mp3;14:29
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdullaah_basfar/039.mp3;23:00
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdullaah_basfar/040.mp3;23:42
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdullaah_basfar/041.mp3;16:44
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdullaah_basfar/042.mp3;17:36
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdullaah_basfar/043.mp3;16:52
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdullaah_basfar/044.mp3;07:30
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdullaah_basfar/045.mp3;09:35
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdullaah_basfar/046.mp3;11:48
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdullaah_basfar/047.mp3;11:02
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdullaah_basfar/048.mp3;11:29
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdullaah_basfar/049.mp3;07:11
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdullaah_basfar/050.mp3;07:45
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdullaah_basfar/051.mp3;07:01
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdullaah_basfar/052.mp3;06:28
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abdullaah_basfar/053.mp3;07:02
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/abdullaah_basfar/054.mp3;07:33
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/abdullaah_basfar/055.mp3;09:06
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/abdullaah_basfar/056.mp3;09:23
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/abdullaah_basfar/057.mp3;11:18
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/abdullaah_basfar/058.mp3;09:08
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/abdullaah_basfar/059.mp3;08:55
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/abdullaah_basfar/060.mp3;06:59
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/abdullaah_basfar/061.mp3;04:13
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/abdullaah_basfar/062.mp3;03:29
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/abdullaah_basfar/063.mp3;03:54
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/abdullaah_basfar/064.mp3;04:36
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/abdullaah_basfar/065.mp3;05:33
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/abdullaah_basfar/066.mp3;05:09
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/abdullaah_basfar/067.mp3;05:57
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/abdullaah_basfar/068.mp3;05:42
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/abdullaah_basfar/069.mp3;06:48
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/abdullaah_basfar/070.mp3;05:19
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/abdullaah_basfar/071.mp3;04:22
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/abdullaah_basfar/072.mp3;05:12
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/abdullaah_basfar/073.mp3;03:49
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/abdullaah_basfar/074.mp3;05:06
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/abdullaah_basfar/075.mp3;03:28
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/abdullaah_basfar/076.mp3;04:42
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/abdullaah_basfar/077.mp3;04:00
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/abdullaah_basfar/078.mp3;03:40
