number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdullah_matroud/001.mp3;00:49
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdullah_matroud/002.mp3;02:12:19
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdullah_matroud/003.mp3;01:16:01
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdullah_matroud/004.mp3;01:25:00
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdullah_matroud/005.mp3;01:03:19
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdullah_matroud/006.mp3;01:11:25
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdullah_matroud/007.mp3;01:13:22
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdullah_matroud/008.mp3;26:24
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdullah_matroud/009.mp3;51:49
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdullah_matroud/010.mp3;37:04
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdullah_matroud/011.mp3;42:17
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdullah_matroud/012.mp3;34:26
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdullah_matroud/013.mp3;18:40
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdullah_matroud/014.mp3;19:19
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdullah_matroud/015.mp3;14:36
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdullah_matroud/016.mp3;39:25
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdullah_matroud/017.mp3;31:34
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdullah_matroud/018.mp3;31:44
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdullah_matroud/019.mp3;19:39
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdullah_matroud/020.mp3;26:12
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdullah_matroud/021.mp3;26:24
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdullah_matroud/022.mp3;26:01
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdullah_matroud/023.mp3;23:05
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdullah_matroud/024.mp3;29:59
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdullah_matroud/025.mp3;18:31
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdullah_matroud/026.mp3;28:01
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdullah_matroud/027.mp3;24:48
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdullah_matroud/028.mp3;29:33
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdullah_matroud/029.mp3;20:39
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdullah_matroud/030.mp3;16:37
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdullah_matroud/031.mp3;11:26
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdullah_matroud/032.mp3;07:54
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdullah_matroud/033.mp3;29:58
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdullah_matroud/034.mp3;19:26
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdullah_matroud/035.mp3;17:03
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdullah_matroud/036.mp3;14:22
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdullah_matroud/037.mp3;19:47
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdullah_matroud/038.mp3;14:46
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdullah_matroud/039.mp3;25:34
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdullah_matroud/040.mp3;25:47
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdullah_matroud/041.mp3;17:35
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdullah_matroud/042.mp3;18:04
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdullah_matroud/043.mp3;19:23
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdullah_matroud/044.mp3;07:47
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdullah_matroud/045.mp3;10:40
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdullah_matroud/046.mp3;13:41
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdullah_matroud/047.mp3;11:33
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdullah_matroud/048.mp3;10:42
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdullah_matroud/049.mp3;07:23
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdullah_matroud/050.mp3;08:21
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdullah_matroud/051.mp3;07:12
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdullah_matroud/052.mp3;06:32
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abdullah_matroud/053.mp3;07:21
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/abdullah_matroud/054.mp3;07:40
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/abdullah_matroud/055.mp3;09:03
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/abdullah_matroud/056.mp3;09:30
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/abdullah_matroud/057.mp3;12:05
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/abdullah_matroud/058.mp3;09:27
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/abdullah_matroud/059.mp3;10:19
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/abdullah_matroud/060.mp3;07:49
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/abdullah_matroud/061.mp3;04:21
