number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/001.mp3;00:38
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/002.mp3;01:30:49
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/003.mp3;55:15
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/004.mp3;01:00:53
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/005.mp3;44:53
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/006.mp3;47:05
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/007.mp3;53:35
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/008.mp3;20:01
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/009.mp3;40:54
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/010.mp3;29:07
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/011.mp3;31:23
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/012.mp3;27:08
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/013.mp3;14:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/014.mp3;13:06
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/015.mp3;10:58
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/016.mp3;28:48
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/017.mp3;25:21
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/018.mp3;23:40
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/019.mp3;15:40
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/020.mp3;19:03
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/021.mp3;19:04
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/022.mp3;19:47
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/023.mp3;16:34
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/024.mp3;21:52
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/025.mp3;14:05
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/026.mp3;19:59
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/027.mp3;17:52
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/028.mp3;21:59
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/029.mp3;15:03
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/030.mp3;11:54
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/031.mp3;08:38
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/032.mp3;05:49
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/033.mp3;23:54
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/034.mp3;14:24
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/035.mp3;11:35
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/036.mp3;12:35
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/037.mp3;14:10
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/038.mp3;11:30
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/039.mp3;18:50
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/040.mp3;20:07
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/041.mp3;12:44
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/042.mp3;14:52
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/043.mp3;16:00
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/044.mp3;06:29
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/045.mp3;08:19
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/046.mp3;10:32
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/047.mp3;09:14
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/048.mp3;09:39
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/049.mp3;06:09
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdurrahmaan_as-sudays/050.mp3;07:20
