number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdurrashid_sufi/001.mp3;00:41
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdurrashid_sufi/002.mp3;01:59:41
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdurrashid_sufi/003.mp3;01:06:44
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdurrashid_sufi/004.mp3;01:13:17
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdurrashid_sufi/005.mp3;54:33
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdurrashid_sufi/006.mp3;58:01
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdurrashid_sufi/007.mp3;01:02:03
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdurrashid_sufi/008.mp3;22:33
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdurrashid_sufi/009.mp3;45:46
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdurrashid_sufi/010.mp3;33:06
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdurrashid_sufi/011.mp3;33:48
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdurrashid_sufi/012.mp3;31:52
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdurrashid_sufi/013.mp3;14:44
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdurrashid_sufi/014.mp3;15:32
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdurrashid_sufi/015.mp3;12:53
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdurrashid_sufi/016.mp3;33:22
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdurrashid_sufi/017.mp3;28:26
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdurrashid_sufi/018.mp3;27:58
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdurrashid_sufi/019.mp3;16:59
