number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/001.mp3;01:17
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/002.mp3;04:43:19
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/003.mp3;02:42:34
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/004.mp3;02:23:04
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/005.mp3;02:00:16
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/006.mp3;02:04:41
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/007.mp3;02:16:07
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/008.mp3;50:29
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/009.mp3;01:33:17
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/010.mp3;01:14:04
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/011.mp3;01:14:36
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/012.mp3;01:11:34
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/013.mp3;31:36
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/014.mp3;29:34
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/015.mp3;30:49
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/016.mp3;01:16:06
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/017.mp3;01:01:41
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/018.mp3;01:01:34
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/019.mp3;37:18
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/020.mp3;46:31
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/021.mp3;46:49
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/022.mp3;52:01
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/023.mp3;43:26
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/024.mp3;50:41
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/025.mp3;33:11
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/026.mp3;50:21
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/027.mp3;46:02
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/028.mp3;54:48
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/029.mp3;39:06
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/030.mp3;33:09
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/031.mp3;20:02
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/032.mp3;14:56
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/033.mp3;52:40
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/034.mp3;34:29
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/035.mp3;30:06
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/036.mp3;28:05
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/037.mp3;40:59
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/038.mp3;25:31
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/039.mp3;43:42
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/040.mp3;44:03
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/041.mp3;31:14
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/042.mp3;32:32
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/043.mp3;34:40
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/044.mp3;15:23
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/045.mp3;20:19
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/046.mp3;26:53
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/047.mp3;20:17
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/048.mp3;21:17
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/049.mp3;15:08
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/050.mp3;15:09
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/051.mp3;14:21
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/052.mp3;12:37
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/053.mp3;12:21
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/054.mp3;13:11
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/055.mp3;17:18
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/056.mp3;17:50
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/057.mp3;22:59
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/058.mp3;19:40
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/059.mp3;19:07
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/060.mp3;14:25
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/061.mp3;08:10
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/062.mp3;06:03
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/063.mp3;06:59
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/064.mp3;08:52
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/065.mp3;11:53
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/066.mp3;10:16
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/067.mp3;12:38
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/068.mp3;11:46
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/069.mp3;10:55
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/070.mp3;10:11
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/071.mp3;09:22
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/072.mp3;11:04
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/073.mp3;09:02
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/074.mp3;10:48
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/075.mp3;06:27
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/076.mp3;10:31
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/077.mp3;08:21
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/078.mp3;07:50
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/079.mp3;07:34
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/080.mp3;06:40
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/081.mp3;04:04
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/082.mp3;03:23
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/083.mp3;07:16
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/084.mp3;03:58
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/085.mp3;04:27
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/086.mp3;02:42
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/abdulrazaq_bin_abtan_al_dulaimi/087.mp3;03:16
