number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/001.mp3;00:46
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/002.mp3;01:57:30
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/003.mp3;01:09:22
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/004.mp3;01:13:24
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/005.mp3;54:24
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/006.mp3;57:43
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/007.mp3;01:08:10
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/008.mp3;24:22
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/009.mp3;49:41
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/010.mp3;33:43
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/011.mp3;38:32
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/012.mp3;36:40
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/013.mp3;17:02
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/014.mp3;18:18
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/015.mp3;13:33
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/016.mp3;34:50
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/017.mp3;29:56
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/018.mp3;29:55
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/019.mp3;19:55
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/020.mp3;25:24
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/021.mp3;23:20
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/022.mp3;24:51
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/023.mp3;21:06
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/024.mp3;26:15
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/025.mp3;16:00
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/026.mp3;24:27
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/027.mp3;20:57
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/028.mp3;25:12
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/029.mp3;17:42
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/030.mp3;14:08
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/031.mp3;08:56
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/032.mp3;07:05
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/033.mp3;26:37
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/034.mp3;14:55
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/035.mp3;14:59
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/036.mp3;12:56
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/037.mp3;19:16
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/038.mp3;14:54
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/039.mp3;23:51
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/040.mp3;22:12
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/041.mp3;14:50
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/042.mp3;15:44
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/043.mp3;18:11
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/044.mp3;07:27
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/045.mp3;09:17
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/046.mp3;11:35
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/047.mp3;09:46
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/048.mp3;11:35
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/049.mp3;06:33
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/050.mp3;08:10
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/051.mp3;07:26
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/052.mp3;06:35
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/053.mp3;06:56
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/054.mp3;07:13
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/055.mp3;09:57
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/056.mp3;09:38
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/057.mp3;11:06
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/058.mp3;08:48
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/059.mp3;08:57
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/060.mp3;07:40
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/061.mp3;04:33
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/abu_bakr_ash-shatri_tarawee7/062.mp3;03:20
