number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/adel_kalbani/001.mp3;00:55
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/adel_kalbani/002.mp3;01:35:55
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/adel_kalbani/003.mp3;58:09
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/adel_kalbani/004.mp3;01:00:29
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/adel_kalbani/005.mp3;45:26
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/adel_kalbani/006.mp3;49:31
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/adel_kalbani/007.mp3;56:17
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/adel_kalbani/008.mp3;21:51
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/adel_kalbani/009.mp3;43:12
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/adel_kalbani/010.mp3;31:13
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/adel_kalbani/011.mp3;32:10
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/adel_kalbani/012.mp3;31:37
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/adel_kalbani/013.mp3;14:17
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/adel_kalbani/014.mp3;16:05
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/adel_kalbani/015.mp3;10:29
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/adel_kalbani/016.mp3;27:48
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/adel_kalbani/017.mp3;23:48
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/adel_kalbani/018.mp3;24:02
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/adel_kalbani/019.mp3;14:04
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/adel_kalbani/020.mp3;19:42
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/adel_kalbani/021.mp3;20:20
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/adel_kalbani/022.mp3;20:33
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/adel_kalbani/023.mp3;19:20
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/adel_kalbani/024.mp3;23:30
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/adel_kalbani/025.mp3;14:51
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/adel_kalbani/026.mp3;20:58
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/adel_kalbani/027.mp3;18:05
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/adel_kalbani/028.mp3;22:46
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/adel_kalbani/029.mp3;15:27
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/adel_kalbani/030.mp3;14:00
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/adel_kalbani/031.mp3;08:59
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/adel_kalbani/032.mp3;06:33
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/adel_kalbani/033.mp3;22:12
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/adel_kalbani/034.mp3;13:12
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/adel_kalbani/035.mp3;12:17
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/adel_kalbani/036.mp3;12:04
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/adel_kalbani/037.mp3;15:12
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/adel_kalbani/038.mp3;12:34
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/adel_kalbani/039.mp3;18:17
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/adel_kalbani/040.mp3;19:09
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/adel_kalbani/041.mp3;13:39
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/adel_kalbani/042.mp3;14:10
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/adel_kalbani/043.mp3;14:34
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/adel_kalbani/044.mp3;06:23
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/adel_kalbani/045.mp3;08:13
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/adel_kalbani/046.mp3;11:03
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/adel_kalbani/047.mp3;09:08
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/adel_kalbani/048.mp3;08:41
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/adel_kalbani/049.mp3;06:17
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/adel_kalbani/050.mp3;06:31
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/adel_kalbani/051.mp3;06:02
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/adel_kalbani/052.mp3;05:29
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/adel_kalbani/053.mp3;05:53
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/adel_kalbani/054.mp3;05:43
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/adel_kalbani/055.mp3;07:32
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/adel_kalbani/056.mp3;08:01
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/adel_kalbani/057.mp3;09:17
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/adel_kalbani/058.mp3;07:50
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/adel_kalbani/059.mp3;08:13
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/adel_kalbani/060.mp3;06:19
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/adel_kalbani/061.mp3;03:50
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/adel_kalbani/062.mp3;02:56
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/adel_kalbani/063.mp3;03:25
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/adel_kalbani/064.mp3;03:52
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/adel_kalbani/065.mp3;05:10
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/adel_kalbani/066.mp3;04:31
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/adel_kalbani/067.mp3;05:26
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/adel_kalbani/068.mp3;05:24
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/adel_kalbani/069.mp3;05:27
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/adel_kalbani/070.mp3;04:23
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/adel_kalbani/071.mp3;03:33
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/adel_kalbani/072.mp3;04:20
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/adel_kalbani/073.mp3;03:27
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/adel_kalbani/074.mp3;04:30
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/adel_kalbani/075.mp3;03:17
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/adel_kalbani/078.mp3;03:25
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/adel_kalbani/079.mp3;03:13
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/adel_kalbani/080.mp3;02:36
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/adel_kalbani/081.mp3;01:49
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/adel_kalbani/082.mp3;01:26
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/adel_kalbani/083.mp3;03:14
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/adel_kalbani/084.mp3;01:54
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/adel_kalbani/085.mp3;01:56
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/adel_kalbani/086.mp3;01:11
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/adel_kalbani/087.mp3;01:10
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/adel_kalbani/088.mp3;01:35
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/adel_kalbani/089.mp3;02:32
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/adel_kalbani/090.mp3;01:24
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/adel_kalbani/091.mp3;01:01
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/adel_kalbani/092.mp3;01:22
