number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/001.mp3;00:39
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/014.mp3;15:49
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/015.mp3;12:14
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/017.mp3;27:47
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/018.mp3;28:03
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/019.mp3;16:10
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/021.mp3;23:45
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/022.mp3;23:46
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/023.mp3;18:01
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/026.mp3;22:20
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/027.mp3;20:35
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/029.mp3;21:11
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/032.mp3;06:55
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/035.mp3;15:06
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/ahmad_alhuthayfi/038.mp3;14:39
