number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/001.mp3;00:42
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/002.mp3;01:51:44
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/003.mp3;01:11:53
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/004.mp3;01:19:42
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/005.mp3;53:11
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/006.mp3;57:06
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/007.mp3;59:47
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/008.mp3;24:38
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/009.mp3;47:47
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/010.mp3;36:05
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/011.mp3;37:45
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/012.mp3;35:34
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/013.mp3;16:56
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/014.mp3;16:59
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/015.mp3;16:59
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/016.mp3;37:50
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/017.mp3;27:30
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/018.mp3;27:02
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/019.mp3;18:19
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/020.mp3;24:59
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/021.mp3;24:31
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/022.mp3;25:59
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/023.mp3;20:35
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/024.mp3;27:06
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/025.mp3;17:07
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/026.mp3;28:32
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/027.mp3;24:31
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/028.mp3;28:29
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/029.mp3;21:14
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/030.mp3;17:49
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/031.mp3;10:54
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/032.mp3;08:15
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/033.mp3;24:42
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/034.mp3;17:27
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/035.mp3;14:52
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/036.mp3;13:27
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/037.mp3;18:47
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/038.mp3;17:57
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/039.mp3;26:55
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/040.mp3;25:11
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/041.mp3;16:02
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/042.mp3;16:38
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/043.mp3;19:51
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/044.mp3;09:35
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/045.mp3;10:10
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/046.mp3;14:46
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/047.mp3;12:27
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/048.mp3;11:47
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/049.mp3;08:14
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/050.mp3;09:43
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/051.mp3;06:30
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/052.mp3;05:49
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/053.mp3;05:50
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/054.mp3;05:53
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/055.mp3;07:58
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/056.mp3;07:53
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/057.mp3;12:41
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/058.mp3;10:48
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/059.mp3;11:39
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/060.mp3;08:33
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/061.mp3;04:59
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/062.mp3;04:50
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/063.mp3;05:54
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/064.mp3;06:39
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/065.mp3;06:53
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/066.mp3;06:42
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/067.mp3;07:56
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/068.mp3;07:50
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/069.mp3;08:14
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/070.mp3;07:05
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/071.mp3;05:13
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/072.mp3;06:22
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/073.mp3;05:14
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/074.mp3;07:54
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/075.mp3;04:13
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/076.mp3;06:46
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/077.mp3;04:21
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/078.mp3;04:28
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/079.mp3;03:36
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/080.mp3;02:47
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/081.mp3;01:55
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/082.mp3;01:33
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/083.mp3;03:32
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/084.mp3;02:12
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/085.mp3;02:22
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/086.mp3;01:13
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/087.mp3;01:20
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/088.mp3;02:06
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/089.mp3;02:41
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/090.mp3;01:26
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/091.mp3;01:04
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/092.mp3;01:22
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/093.mp3;00:47
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/094.mp3;00:26
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/095.mp3;00:39
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/096.mp3;01:09
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/097.mp3;00:33
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/098.mp3;01:46
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/099.mp3;00:39
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/100.mp3;00:47
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/101.mp3;00:42
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/102.mp3;00:36
103;Surat  Al-'Asr;https://www.quran.com/103;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/103.mp3;00:15
104;Surat  Al-Humazah;https://www.quran.com/104;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/104.mp3;00:35
105;Surat  Al-Fil;https://www.quran.com/105;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/105.mp3;00:26
106;Surat  Quraysh;https://www.quran.com/106;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/106.mp3;00:20
107;Surat  Al-Ma'un;https://www.quran.com/107;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/107.mp3;00:28
108;Surat  Al-Kawthar;https://www.quran.com/108;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/108.mp3;00:12
109;Surat  Al-Kafirun;https://www.quran.com/109;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/109.mp3;00:33
110;Surat  An-Nasr;https://www.quran.com/110;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/110.mp3;00:19
111;Surat  Al-Masad;https://www.quran.com/111;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/111.mp3;00:23
112;Surat  Al-Ikhlas;https://www.quran.com/112;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/112.mp3;00:10
113;Surat  Al-Falaq;https://www.quran.com/113;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/113.mp3;00:19
114;Surat  An-Nas;https://www.quran.com/114;https://download.quranicaudio.com/quran/ahmed_ibn_3ali_al-3ajamy/114.mp3;00:22
