number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/akram_al_alaqmi/001.mp3;00:54
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/akram_al_alaqmi/002.mp3;02:24:09
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/akram_al_alaqmi/003.mp3;01:16:36
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/akram_al_alaqmi/004.mp3;01:25:06
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/akram_al_alaqmi/005.mp3;01:00:09
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/akram_al_alaqmi/006.mp3;01:06:18
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/akram_al_alaqmi/007.mp3;01:17:05
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/akram_al_alaqmi/008.mp3;27:02
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/akram_al_alaqmi/009.mp3;49:17
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/akram_al_alaqmi/010.mp3;36:27
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/akram_al_alaqmi/011.mp3;39:28
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/akram_al_alaqmi/012.mp3;39:16
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/akram_al_alaqmi/013.mp3;19:23
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/akram_al_alaqmi/014.mp3;18:26
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/akram_al_alaqmi/015.mp3;13:43
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/akram_al_alaqmi/016.mp3;35:46
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/akram_al_alaqmi/017.mp3;30:04
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/akram_al_alaqmi/018.mp3;33:28
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/akram_al_alaqmi/019.mp3;20:54
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/akram_al_alaqmi/020.mp3;27:59
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/akram_al_alaqmi/021.mp3;23:39
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/akram_al_alaqmi/022.mp3;26:22
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/akram_al_alaqmi/023.mp3;24:00
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/akram_al_alaqmi/024.mp3;29:39
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/akram_al_alaqmi/025.mp3;18:58
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/akram_al_alaqmi/026.mp3;27:36
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/akram_al_alaqmi/027.mp3;22:35
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/akram_al_alaqmi/028.mp3;29:40
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/akram_al_alaqmi/029.mp3;20:58
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/akram_al_alaqmi/030.mp3;17:37
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/akram_al_alaqmi/031.mp3;10:37
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/akram_al_alaqmi/032.mp3;07:39
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/akram_al_alaqmi/033.mp3;27:33
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/akram_al_alaqmi/034.mp3;17:03
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/akram_al_alaqmi/035.mp3;15:22
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/akram_al_alaqmi/036.mp3;14:49
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/akram_al_alaqmi/037.mp3;19:13
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/akram_al_alaqmi/038.mp3;15:48
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/akram_al_alaqmi/039.mp3;23:20
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/akram_al_alaqmi/040.mp3;24:44
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/akram_al_alaqmi/041.mp3;19:16
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/akram_al_alaqmi/042.mp3;18:26
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/akram_al_alaqmi/043.mp3;17:01
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/akram_al_alaqmi/044.mp3;07:28
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/akram_al_alaqmi/045.mp3;09:38
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/akram_al_alaqmi/046.mp3;12:37
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/akram_al_alaqmi/047.mp3;10:54
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/akram_al_alaqmi/048.mp3;10:52
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/akram_al_alaqmi/049.mp3;07:47
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/akram_al_alaqmi/050.mp3;08:32
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/akram_al_alaqmi/051.mp3;08:20
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/akram_al_alaqmi/052.mp3;07:32
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/akram_al_alaqmi/053.mp3;08:05
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/akram_al_alaqmi/054.mp3;07:39
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/akram_al_alaqmi/055.mp3;10:02
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/akram_al_alaqmi/056.mp3;10:16
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/akram_al_alaqmi/057.mp3;12:12
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/akram_al_alaqmi/058.mp3;10:00
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/akram_al_alaqmi/059.mp3;09:50
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/akram_al_alaqmi/060.mp3;07:43
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/akram_al_alaqmi/061.mp3;03:58
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/akram_al_alaqmi/062.mp3;03:16
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/akram_al_alaqmi/063.mp3;03:24
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/akram_al_alaqmi/064.mp3;04:20
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/akram_al_alaqmi/065.mp3;05:12
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/akram_al_alaqmi/066.mp3;05:17
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/akram_al_alaqmi/067.mp3;07:25
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/akram_al_alaqmi/068.mp3;07:45
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/akram_al_alaqmi/069.mp3;07:05
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/akram_al_alaqmi/070.mp3;05:32
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/akram_al_alaqmi/071.mp3;05:25
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/akram_al_alaqmi/072.mp3;06:30
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/akram_al_alaqmi/073.mp3;05:12
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/akram_al_alaqmi/074.mp3;06:32
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/akram_al_alaqmi/075.mp3;04:00
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/akram_al_alaqmi/076.mp3;05:40
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/akram_al_alaqmi/077.mp3;04:53
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/akram_al_alaqmi/078.mp3;04:57
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/akram_al_alaqmi/079.mp3;04:52
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/akram_al_alaqmi/080.mp3;03:52
