number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/001.mp3;01:51
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/002.mp3;04:46:02
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/003.mp3;03:07:06
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/004.mp3;02:51:02
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/005.mp3;02:12:14
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/006.mp3;02:30:45
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/007.mp3;02:42:04
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/008.mp3;01:00:39
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/009.mp3;02:03:14
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/010.mp3;01:22:24
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/011.mp3;01:25:11
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/012.mp3;01:28:13
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/013.mp3;38:08
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/014.mp3;42:03
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/015.mp3;31:47
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/016.mp3;01:25:32
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/017.mp3;01:11:09
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/018.mp3;01:18:38
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/019.mp3;43:33
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/020.mp3;53:26
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/021.mp3;55:23
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/022.mp3;01:00:55
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/023.mp3;48:11
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/024.mp3;01:02:33
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/025.mp3;37:29
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/026.mp3;01:00:11
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/027.mp3;53:08
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/028.mp3;01:00:38
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/029.mp3;43:46
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/030.mp3;35:17
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/031.mp3;21:41
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/032.mp3;16:08
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/033.mp3;58:21
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/034.mp3;40:49
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/035.mp3;33:03
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/036.mp3;32:20
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/037.mp3;40:48
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/038.mp3;32:00
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/alhusaynee_al3azazee_with_children/039.mp3;49:18
