number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/huthayfi/001.mp3;01:00
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/huthayfi/002.mp3;02:19:10
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/huthayfi/003.mp3;01:18:11
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/huthayfi/004.mp3;01:19:45
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/huthayfi/005.mp3;01:05:29
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/huthayfi/006.mp3;01:10:07
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/huthayfi/007.mp3;01:16:43
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/huthayfi/008.mp3;28:11
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/huthayfi/009.mp3;55:37
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/huthayfi/010.mp3;40:56
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/huthayfi/011.mp3;43:50
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/huthayfi/012.mp3;39:26
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/huthayfi/013.mp3;18:53
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/huthayfi/014.mp3;18:44
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/huthayfi/015.mp3;15:35
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/huthayfi/016.mp3;39:36
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/huthayfi/017.mp3;29:58
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/huthayfi/018.mp3;31:26
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/huthayfi/019.mp3;18:08
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/huthayfi/020.mp3;28:26
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/huthayfi/021.mp3;26:13
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/huthayfi/022.mp3;27:42
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/huthayfi/023.mp3;23:43
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/huthayfi/024.mp3;29:28
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/huthayfi/025.mp3;18:03
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/huthayfi/026.mp3;32:38
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/huthayfi/027.mp3;27:36
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/huthayfi/028.mp3;33:35
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/huthayfi/029.mp3;23:01
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/huthayfi/030.mp3;19:45
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/huthayfi/031.mp3;11:48
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/huthayfi/032.mp3;08:59
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/huthayfi/033.mp3;29:16
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/huthayfi/034.mp3;18:53
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/huthayfi/035.mp3;17:08
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/huthayfi/036.mp3;17:27
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/huthayfi/037.mp3;23:59
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/huthayfi/038.mp3;17:42
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/huthayfi/039.mp3;26:56
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/huthayfi/040.mp3;27:04
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/huthayfi/041.mp3;19:17
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/huthayfi/042.mp3;20:48
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/huthayfi/043.mp3;21:18
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/huthayfi/044.mp3;09:32
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/huthayfi/045.mp3;11:22
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/huthayfi/046.mp3;15:37
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/huthayfi/047.mp3;12:47
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/huthayfi/048.mp3;12:02
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/huthayfi/049.mp3;08:42
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/huthayfi/050.mp3;08:20
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/huthayfi/051.mp3;08:50
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/huthayfi/052.mp3;07:51
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/huthayfi/053.mp3;08:34
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/huthayfi/054.mp3;08:30
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/huthayfi/055.mp3;12:02
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/huthayfi/056.mp3;11:59
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/huthayfi/057.mp3;13:26
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/huthayfi/058.mp3;11:14
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/huthayfi/059.mp3;10:48
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/huthayfi/060.mp3;08:45
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/huthayfi/061.mp3;05:11
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/huthayfi/062.mp3;04:23
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/huthayfi/063.mp3;04:42
