number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/001.mp3;00:43
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/002.mp3;02:23:41
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/003.mp3;01:24:46
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/004.mp3;01:31:04
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/005.mp3;01:10:18
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/006.mp3;01:09:08
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/007.mp3;01:21:53
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/008.mp3;30:09
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/009.mp3;56:08
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/010.mp3;40:22
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/011.mp3;44:19
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/012.mp3;44:00
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/013.mp3;20:22
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/014.mp3;19:37
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/015.mp3;16:23
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/016.mp3;41:28
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/017.mp3;38:56
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/018.mp3;41:19
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/019.mp3;24:05
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/020.mp3;34:25
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/021.mp3;28:23
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/022.mp3;28:02
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/023.mp3;25:29
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/024.mp3;32:05
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/025.mp3;22:38
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/026.mp3;36:01
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/027.mp3;29:35
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/028.mp3;36:01
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/029.mp3;23:36
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/030.mp3;19:53
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/031.mp3;12:44
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/032.mp3;08:39
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/033.mp3;28:40
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/034.mp3;18:13
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/035.mp3;17:40
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/036.mp3;15:48
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/037.mp3;20:27
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/038.mp3;16:23
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/039.mp3;27:12
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/040.mp3;29:16
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/041.mp3;17:48
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/042.mp3;18:24
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/043.mp3;20:01
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/044.mp3;08:35
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/045.mp3;11:18
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/046.mp3;14:56
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/047.mp3;13:05
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/048.mp3;14:07
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/049.mp3;08:03
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/050.mp3;08:10
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/051.mp3;08:19
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/052.mp3;07:28
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/053.mp3;08:22
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/054.mp3;08:40
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/055.mp3;10:01
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/056.mp3;09:42
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/057.mp3;12:16
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/058.mp3;10:23
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/059.mp3;10:54
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/060.mp3;09:28
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/061.mp3;05:21
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/062.mp3;03:34
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/063.mp3;04:08
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/064.mp3;05:26
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/065.mp3;06:39
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/066.mp3;06:13
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/067.mp3;07:09
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/068.mp3;07:30
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/069.mp3;07:26
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/070.mp3;06:09
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/071.mp3;05:34
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/072.mp3;05:54
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/073.mp3;04:34
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/074.mp3;06:14
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/075.mp3;03:47
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/076.mp3;05:59
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/077.mp3;04:40
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/078.mp3;04:26
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/079.mp3;04:37
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/080.mp3;03:39
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/081.mp3;02:20
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/082.mp3;01:53
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/083.mp3;04:06
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/084.mp3;02:38
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/085.mp3;02:18
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/086.mp3;01:29
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/087.mp3;01:40
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/088.mp3;02:09
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/089.mp3;03:10
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/090.mp3;01:55
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/091.mp3;01:24
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/092.mp3;02:05
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/093.mp3;01:03
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/094.mp3;00:38
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/ali_hajjaj_alsouasi/095.mp3;00:49
