number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/bandar_baleela/complete/001.mp3;00:46
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/bandar_baleela/complete/002.mp3;01:48:43
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/bandar_baleela/complete/003.mp3;01:01:27
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/bandar_baleela/complete/004.mp3;01:26:44
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/bandar_baleela/complete/005.mp3;50:42
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/bandar_baleela/complete/006.mp3;01:11:12
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/bandar_baleela/complete/007.mp3;01:02:14
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/bandar_baleela/complete/008.mp3;28:57
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/bandar_baleela/complete/009.mp3;53:16
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/bandar_baleela/complete/010.mp3;42:43
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/bandar_baleela/complete/011.mp3;44:58
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/bandar_baleela/complete/012.mp3;37:27
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/bandar_baleela/complete/013.mp3;20:44
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/bandar_baleela/complete/014.mp3;21:47
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/bandar_baleela/complete/015.mp3;14:55
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/bandar_baleela/complete/016.mp3;45:56
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/bandar_baleela/complete/017.mp3;39:40
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/bandar_baleela/complete/018.mp3;27:19
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/bandar_baleela/complete/019.mp3;16:54
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/bandar_baleela/complete/020.mp3;29:49
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/bandar_baleela/complete/021.mp3;27:59
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/bandar_baleela/complete/022.mp3;22:51
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/bandar_baleela/complete/023.mp3;26:13
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/bandar_baleela/complete/024.mp3;24:58
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/bandar_baleela/complete/025.mp3;17:36
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/bandar_baleela/complete/026.mp3;28:30
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/bandar_baleela/complete/027.mp3;28:36
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/bandar_baleela/complete/028.mp3;34:02
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/bandar_baleela/complete/029.mp3;23:39
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/bandar_baleela/complete/030.mp3;19:30
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/bandar_baleela/complete/031.mp3;13:24
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/bandar_baleela/complete/032.mp3;06:34
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/bandar_baleela/complete/033.mp3;31:01
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/bandar_baleela/complete/034.mp3;18:57
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/bandar_baleela/complete/035.mp3;18:33
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/bandar_baleela/complete/036.mp3;19:12
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/bandar_baleela/complete/037.mp3;21:07
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/bandar_baleela/complete/038.mp3;16:48
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/bandar_baleela/complete/039.mp3;29:05
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/bandar_baleela/complete/040.mp3;29:07
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/bandar_baleela/complete/041.mp3;19:12
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/bandar_baleela/complete/042.mp3;19:41
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/bandar_baleela/complete/043.mp3;19:47
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/bandar_baleela/complete/044.mp3;07:03
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/bandar_baleela/complete/045.mp3;12:15
