number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/001.mp3;00:43
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/002.mp3;01:39:32
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/003.mp3;52:16
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/004.mp3;01:02:26
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/005.mp3;56:26
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/006.mp3;45:14
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/007.mp3;57:15
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/008.mp3;25:45
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/009.mp3;54:04
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/010.mp3;41:19
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/011.mp3;38:24
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/012.mp3;37:34
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/013.mp3;16:02
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/014.mp3;16:30
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/015.mp3;14:00
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/016.mp3;35:23
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/017.mp3;29:27
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/018.mp3;31:25
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/019.mp3;19:40
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/020.mp3;26:00
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/021.mp3;23:31
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/022.mp3;24:41
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/023.mp3;21:13
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/024.mp3;25:34
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/025.mp3;15:42
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/026.mp3;28:10
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/027.mp3;22:43
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/028.mp3;29:36
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/029.mp3;18:29
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/030.mp3;16:12
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/031.mp3;10:35
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/032.mp3;07:55
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/033.mp3;28:07
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/034.mp3;16:50
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/035.mp3;14:58
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/036.mp3;14:36
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/037.mp3;20:23
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/038.mp3;14:41
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/039.mp3;21:54
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/040.mp3;22:59
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/041.mp3;15:47
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/042.mp3;16:58
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/043.mp3;17:43
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/044.mp3;07:44
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/045.mp3;09:40
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/046.mp3;13:06
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/047.mp3;09:49
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/048.mp3;10:10
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/049.mp3;07:01
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/050.mp3;07:14
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/051.mp3;07:16
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/052.mp3;06:26
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/053.mp3;06:51
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/054.mp3;07:31
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/055.mp3;09:54
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/056.mp3;09:52
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/057.mp3;11:29
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/058.mp3;09:53
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/059.mp3;09:19
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/dr.shawqy_7amed/murattal/060.mp3;07:28
