number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/fatih_seferagic/001.mp3;01:01
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/fatih_seferagic/002.mp3;02:08:53
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/fatih_seferagic/003.mp3;01:05:01
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/fatih_seferagic/004.mp3;01:07:50
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/fatih_seferagic/005.mp3;50:45
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/fatih_seferagic/006.mp3;56:23
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/fatih_seferagic/007.mp3;01:02:12
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/fatih_seferagic/008.mp3;24:57
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/fatih_seferagic/009.mp3;47:09
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/fatih_seferagic/010.mp3;34:52
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/fatih_seferagic/011.mp3;34:40
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/fatih_seferagic/012.mp3;32:41
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/fatih_seferagic/013.mp3;15:37
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/fatih_seferagic/014.mp3;16:57
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/fatih_seferagic/015.mp3;13:03
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/fatih_seferagic/016.mp3;30:56
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/fatih_seferagic/017.mp3;30:50
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/fatih_seferagic/018.mp3;28:17
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/fatih_seferagic/019.mp3;17:47
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/fatih_seferagic/020.mp3;24:31
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/fatih_seferagic/021.mp3;22:28
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/fatih_seferagic/022.mp3;20:45
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/fatih_seferagic/023.mp3;20:25
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/fatih_seferagic/024.mp3;24:19
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/fatih_seferagic/025.mp3;14:56
