number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/hatem_farid/collection/001.mp3;00:33
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/hatem_farid/collection/002.mp3;01:57:58
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/hatem_farid/collection/003.mp3;01:10:28
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/hatem_farid/collection/004.mp3;01:15:31
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/hatem_farid/collection/005.mp3;55:57
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/hatem_farid/collection/006.mp3;58:42
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/hatem_farid/collection/007.mp3;01:06:46
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/hatem_farid/collection/009.mp3;48:46
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/hatem_farid/collection/010.mp3;37:29
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/hatem_farid/collection/011.mp3;37:38
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/hatem_farid/collection/012.mp3;33:27
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/hatem_farid/collection/013.mp3;19:07
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/hatem_farid/collection/014.mp3;18:27
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/hatem_farid/collection/015.mp3;14:03
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/hatem_farid/collection/016.mp3;36:20
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/hatem_farid/collection/017.mp3;31:51
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/hatem_farid/collection/018.mp3;31:17
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/hatem_farid/collection/019.mp3;20:04
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/hatem_farid/collection/020.mp3;27:51
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/hatem_farid/collection/022.mp3;24:05
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/hatem_farid/collection/023.mp3;23:02
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/hatem_farid/collection/024.mp3;27:34
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/hatem_farid/collection/025.mp3;19:11
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/hatem_farid/collection/026.mp3;29:36
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/hatem_farid/collection/028.mp3;26:44
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/hatem_farid/collection/031.mp3;11:42
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/hatem_farid/collection/039.mp3;21:01
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/hatem_farid/collection/040.mp3;24:52
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/hatem_farid/collection/045.mp3;11:26
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/hatem_farid/collection/046.mp3;15:17
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/hatem_farid/collection/047.mp3;13:17
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/hatem_farid/collection/048.mp3;12:36
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/hatem_farid/collection/049.mp3;09:58
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/hatem_farid/collection/050.mp3;08:22
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/hatem_farid/collection/051.mp3;07:14
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/hatem_farid/collection/052.mp3;06:59
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/hatem_farid/collection/053.mp3;06:42
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/hatem_farid/collection/054.mp3;07:32
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/hatem_farid/collection/055.mp3;13:17
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/hatem_farid/collection/056.mp3;08:47
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/hatem_farid/collection/057.mp3;14:53
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/hatem_farid/collection/058.mp3;09:33
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/hatem_farid/collection/059.mp3;10:54
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/hatem_farid/collection/060.mp3;08:27
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/hatem_farid/collection/061.mp3;05:07
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/hatem_farid/collection/062.mp3;05:17
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/hatem_farid/collection/064.mp3;06:18
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/hatem_farid/collection/065.mp3;08:23
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/hatem_farid/collection/066.mp3;10:41
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/hatem_farid/collection/068.mp3;06:07
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/hatem_farid/collection/069.mp3;06:09
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/hatem_farid/collection/070.mp3;04:43
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/hatem_farid/collection/071.mp3;04:33
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/hatem_farid/collection/072.mp3;05:38
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/hatem_farid/collection/073.mp3;04:22
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/hatem_farid/collection/075.mp3;03:41
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/hatem_farid/collection/076.mp3;06:07
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/hatem_farid/collection/079.mp3;03:55
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/hatem_farid/collection/088.mp3;01:54
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/hatem_farid/collection/089.mp3;03:24
