number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/001.mp3;01:01
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/002.mp3;02:33:44
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/003.mp3;01:29:15
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/004.mp3;01:28:15
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/005.mp3;01:08:35
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/006.mp3;01:15:50
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/007.mp3;01:23:11
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/008.mp3;31:33
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/009.mp3;01:01:11
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/010.mp3;44:33
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/011.mp3;47:04
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/012.mp3;45:00
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/013.mp3;21:18
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/014.mp3;20:49
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/015.mp3;18:18
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/016.mp3;44:52
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/017.mp3;34:23
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/018.mp3;37:08
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/019.mp3;22:37
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/020.mp3;29:41
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/021.mp3;31:36
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/022.mp3;31:18
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/023.mp3;29:44
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/024.mp3;35:00
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/025.mp3;21:06
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/026.mp3;38:26
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/027.mp3;30:12
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/028.mp3;36:18
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/029.mp3;25:42
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/030.mp3;21:48
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/031.mp3;13:42
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/032.mp3;10:01
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/033.mp3;31:55
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/034.mp3;21:23
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/035.mp3;19:55
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/036.mp3;20:13
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/037.mp3;27:25
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/038.mp3;20:51
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/039.mp3;29:51
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/040.mp3;30:12
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/041.mp3;20:11
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/042.mp3;21:10
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/043.mp3;22:21
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/044.mp3;10:36
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/045.mp3;11:54
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/046.mp3;15:37
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/047.mp3;13:10
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/048.mp3;12:47
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/049.mp3;08:59
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/050.mp3;09:18
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/051.mp3;09:34
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/052.mp3;08:35
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/053.mp3;08:19
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/054.mp3;08:38
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/055.mp3;12:09
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/056.mp3;12:26
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/057.mp3;22:54
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/058.mp3;11:59
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/059.mp3;10:55
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/060.mp3;09:11
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/061.mp3;05:35
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/062.mp3;04:15
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/063.mp3;04:44
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/ibrahim_al_akhdar/064.mp3;06:07
