number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/jibreen/001.mp3;00:43
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/jibreen/003.mp3;52:16
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/jibreen/004.mp3;01:02:26
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/jibreen/007.mp3;57:15
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/jibreen/008.mp3;20:39
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/jibreen/012.mp3;26:17
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/jibreen/013.mp3;13:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/jibreen/014.mp3;10:36
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/jibreen/015.mp3;10:13
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/jibreen/017.mp3;23:41
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/jibreen/018.mp3;21:38
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/jibreen/019.mp3;14:32
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/jibreen/020.mp3;18:36
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/jibreen/021.mp3;19:15
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/jibreen/023.mp3;19:02
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/jibreen/025.mp3;16:50
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/jibreen/036.mp3;14:07
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/jibreen/037.mp3;16:51
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/jibreen/039.mp3;21:28
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/jibreen/040.mp3;23:22
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/jibreen/044.mp3;06:42
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/jibreen/045.mp3;08:51
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/jibreen/047.mp3;11:03
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/jibreen/048.mp3;08:26
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/jibreen/050.mp3;07:56
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/jibreen/055.mp3;08:52
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/jibreen/056.mp3;07:56
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/jibreen/059.mp3;09:38
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/jibreen/067.mp3;05:41
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/jibreen/069.mp3;06:47
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/jibreen/073.mp3;03:36
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/jibreen/075.mp3;03:28
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/jibreen/078.mp3;03:09
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/jibreen/079.mp3;02:59
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/jibreen/080.mp3;02:17
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/jibreen/081.mp3;01:35
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/jibreen/082.mp3;01:17
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/jibreen/083.mp3;03:00
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/jibreen/084.mp3;01:58
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/jibreen/085.mp3;02:11
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/jibreen/086.mp3;00:56
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/jibreen/087.mp3;00:57
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/jibreen/088.mp3;01:50
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/jibreen/089.mp3;02:37
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/jibreen/090.mp3;01:05
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/jibreen/091.mp3;00:48
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/jibreen/092.mp3;01:21
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/jibreen/093.mp3;00:38
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/jibreen/094.mp3;00:22
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/jibreen/095.mp3;00:33
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/jibreen/096.mp3;01:11
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/jibreen/097.mp3;00:26
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/jibreen/098.mp3;01:20
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/jibreen/099.mp3;00:33
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/jibreen/100.mp3;00:46
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/jibreen/101.mp3;00:33
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/jibreen/102.mp3;00:40
103;Surat  Al-'Asr;https://www.quran.com/103;https://download.quranicaudio.com/quran/jibreen/103.mp3;00:15
104;Surat  Al-Humazah;https://www.quran.com/104;https://download.quranicaudio.com/quran/jibreen/104.mp3;00:29
105;Surat  Al-Fil;https://www.quran.com/105;https://download.quranicaudio.com/quran/jibreen/105.mp3;00:23
106;Surat  Quraysh;https://www.quran.com/106;https://download.quranicaudio.com/quran/jibreen/106.mp3;00:19
107;Surat  Al-Ma'un;https://www.quran.com/107;https://download.quranicaudio.com/quran/jibreen/107.mp3;00:30
108;Surat  Al-Kawthar;https://www.quran.com/108;https://download.quranicaudio.com/quran/jibreen/108.mp3;00:10
109;Surat  Al-Kafirun;https://www.quran.com/109;https://download.quranicaudio.com/quran/jibreen/109.mp3;00:21
110;Surat  An-Nasr;https://www.quran.com/110;https://download.quranicaudio.com/quran/jibreen/110.mp3;00:20
111;Surat  Al-Masad;https://www.quran.com/111;https://download.quranicaudio.com/quran/jibreen/111.mp3;00:21
112;Surat  Al-Ikhlas;https://www.quran.com/112;https://download.quranicaudio.com/quran/jibreen/112.mp3;00:58
113;Surat  Al-Falaq;https://www.quran.com/113;https://download.quranicaudio.com/quran/jibreen/113.mp3;01:19
114;Surat  An-Nas;https://www.quran.com/114;https://download.quranicaudio.com/quran/jibreen/114.mp3;01:37
