number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/idrees_akbar/001.mp3;00:44
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/idrees_akbar/002.mp3;01:57:14
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/idrees_akbar/003.mp3;01:18:24
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/idrees_akbar/004.mp3;01:24:15
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/idrees_akbar/005.mp3;57:32
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/idrees_akbar/006.mp3;01:07:39
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/idrees_akbar/007.mp3;01:17:30
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/idrees_akbar/008.mp3;30:36
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/idrees_akbar/009.mp3;01:04:36
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/idrees_akbar/010.mp3;38:11
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/idrees_akbar/011.mp3;38:20
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/idrees_akbar/012.mp3;32:21
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/idrees_akbar/013.mp3;20:31
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/idrees_akbar/014.mp3;20:28
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/idrees_akbar/015.mp3;17:50
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/idrees_akbar/016.mp3;41:38
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/idrees_akbar/017.mp3;36:58
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/idrees_akbar/018.mp3;36:58
