number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/imad_zuhair_hafez/001.mp3;00:53
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/imad_zuhair_hafez/002.mp3;02:18:23
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/imad_zuhair_hafez/003.mp3;01:20:20
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/imad_zuhair_hafez/004.mp3;01:21:17
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/imad_zuhair_hafez/005.mp3;01:03:39
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/imad_zuhair_hafez/006.mp3;01:10:42
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/imad_zuhair_hafez/007.mp3;01:16:27
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/imad_zuhair_hafez/008.mp3;27:55
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/imad_zuhair_hafez/009.mp3;54:49
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/imad_zuhair_hafez/010.mp3;40:00
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/imad_zuhair_hafez/011.mp3;41:52
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/imad_zuhair_hafez/012.mp3;37:44
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/imad_zuhair_hafez/013.mp3;19:53
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/imad_zuhair_hafez/014.mp3;19:33
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/imad_zuhair_hafez/015.mp3;15:41
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/imad_zuhair_hafez/016.mp3;40:13
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/imad_zuhair_hafez/017.mp3;31:47
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/imad_zuhair_hafez/018.mp3;33:32
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/imad_zuhair_hafez/019.mp3;19:05
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/imad_zuhair_hafez/020.mp3;25:13
