number;name;read_surat_link;download_surat_link;surat_time
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/khalid_alghamdi/009.mp3;42:10
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/khalid_alghamdi/014.mp3;16:29
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/khalid_alghamdi/025.mp3;15:23
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/khalid_alghamdi/032.mp3;06:47
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/khalid_alghamdi/039.mp3;19:32
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/khalid_alghamdi/042.mp3;14:51
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/khalid_alghamdi/058.mp3;08:25
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/khalid_alghamdi/059.mp3;07:50
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/khalid_alghamdi/060.mp3;06:13
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/khalid_alghamdi/061.mp3;03:42
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/khalid_alghamdi/062.mp3;03:25
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/khalid_alghamdi/066.mp3;05:29
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/khalid_alghamdi/068.mp3;06:01
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/khalid_alghamdi/069.mp3;05:12
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/khalid_alghamdi/076.mp3;05:08
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/khalid_alghamdi/085.mp3;02:26
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/khalid_alghamdi/088.mp3;01:59
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/khalid_alghamdi/090.mp3;01:57
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/khalid_alghamdi/091.mp3;01:18
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/khalid_alghamdi/093.mp3;01:07
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/khalid_alghamdi/095.mp3;00:51
