number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/001.mp3;00:48
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/002.mp3;01:50:30
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/003.mp3;01:11:38
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/004.mp3;01:12:21
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/005.mp3;59:29
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/006.mp3;59:37
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/007.mp3;01:04:59
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/008.mp3;25:47
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/009.mp3;01:04:38
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/010.mp3;39:03
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/011.mp3;39:33
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/012.mp3;36:17
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/013.mp3;17:27
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/014.mp3;17:50
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/015.mp3;15:01
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/016.mp3;37:20
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/017.mp3;26:42
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/018.mp3;29:05
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/019.mp3;18:56
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/020.mp3;23:54
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/021.mp3;24:55
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/022.mp3;24:29
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/023.mp3;27:34
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/024.mp3;29:33
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/025.mp3;20:27
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/026.mp3;28:32
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/027.mp3;24:30
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/028.mp3;29:07
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/029.mp3;21:36
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/030.mp3;17:02
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/031.mp3;10:23
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/032.mp3;11:45
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/033.mp3;25:38
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/034.mp3;17:03
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/035.mp3;16:26
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/036.mp3;21:48
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/037.mp3;22:40
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/038.mp3;17:45
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/039.mp3;34:44
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/040.mp3;26:21
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/041.mp3;20:37
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/042.mp3;18:38
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/043.mp3;20:46
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/044.mp3;10:22
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/045.mp3;12:49
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/046.mp3;15:04
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/047.mp3;13:19
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/048.mp3;12:38
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/049.mp3;08:11
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/050.mp3;09:12
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/051.mp3;07:21
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/052.mp3;06:47
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/053.mp3;06:25
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/054.mp3;06:41
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/055.mp3;10:31
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/056.mp3;11:29
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/057.mp3;15:27
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/058.mp3;09:17
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/059.mp3;08:52
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/060.mp3;07:18
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/khaalid_al-qahtaanee/061.mp3;04:12
