number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/khalifah_taniji/001.mp3;00:52
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/khalifah_taniji/002.mp3;02:00:51
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/khalifah_taniji/003.mp3;01:12:34
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/khalifah_taniji/004.mp3;01:15:57
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/khalifah_taniji/005.mp3;57:17
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/khalifah_taniji/006.mp3;01:01:58
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/khalifah_taniji/007.mp3;01:09:03
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/khalifah_taniji/008.mp3;26:53
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/khalifah_taniji/009.mp3;53:20
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/khalifah_taniji/010.mp3;39:01
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/khalifah_taniji/011.mp3;39:31
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/khalifah_taniji/012.mp3;40:16
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/khalifah_taniji/013.mp3;17:48
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/khalifah_taniji/014.mp3;17:31
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/khalifah_taniji/015.mp3;15:56
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/khalifah_taniji/016.mp3;38:34
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/khalifah_taniji/017.mp3;30:29
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/khalifah_taniji/018.mp3;29:34
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/khalifah_taniji/019.mp3;18:43
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/khalifah_taniji/020.mp3;25:07
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/khalifah_taniji/021.mp3;29:03
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/khalifah_taniji/022.mp3;26:39
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/khalifah_taniji/023.mp3;23:33
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/khalifah_taniji/024.mp3;29:19
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/khalifah_taniji/025.mp3;18:06
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/khalifah_taniji/026.mp3;29:25
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/khalifah_taniji/027.mp3;23:26
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/khalifah_taniji/028.mp3;29:49
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/khalifah_taniji/029.mp3;20:12
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/khalifah_taniji/030.mp3;17:07
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/khalifah_taniji/031.mp3;10:40
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/khalifah_taniji/032.mp3;08:02
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/khalifah_taniji/033.mp3;26:58
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/khalifah_taniji/034.mp3;17:36
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/khalifah_taniji/035.mp3;15:52
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/khalifah_taniji/036.mp3;15:41
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/khalifah_taniji/037.mp3;21:05
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/khalifah_taniji/038.mp3;15:54
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/khalifah_taniji/039.mp3;23:27
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/khalifah_taniji/040.mp3;25:02
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/khalifah_taniji/041.mp3;17:02
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/khalifah_taniji/042.mp3;17:48
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/khalifah_taniji/043.mp3;18:55
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/khalifah_taniji/044.mp3;08:46
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/khalifah_taniji/045.mp3;09:57
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/khalifah_taniji/046.mp3;13:11
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/khalifah_taniji/047.mp3;11:23
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/khalifah_taniji/048.mp3;10:51
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/khalifah_taniji/049.mp3;07:51
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/khalifah_taniji/050.mp3;08:05
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/khalifah_taniji/051.mp3;08:08
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/khalifah_taniji/052.mp3;07:04
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/khalifah_taniji/053.mp3;07:08
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/khalifah_taniji/054.mp3;07:12
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/khalifah_taniji/055.mp3;10:38
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/khalifah_taniji/056.mp3;10:29
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/khalifah_taniji/057.mp3;11:50
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/khalifah_taniji/058.mp3;10:16
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/khalifah_taniji/059.mp3;10:00
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/khalifah_taniji/060.mp3;08:09
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/khalifah_taniji/061.mp3;04:47
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/khalifah_taniji/062.mp3;03:39
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/khalifah_taniji/063.mp3;04:03
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/khalifah_taniji/064.mp3;05:14
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/khalifah_taniji/065.mp3;05:55
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/khalifah_taniji/066.mp3;06:10
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/khalifah_taniji/067.mp3;06:54
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/khalifah_taniji/068.mp3;07:21
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/khalifah_taniji/069.mp3;06:11
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/khalifah_taniji/070.mp3;05:19
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/khalifah_taniji/071.mp3;04:33
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/khalifah_taniji/072.mp3;05:32
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/khalifah_taniji/073.mp3;04:08
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/khalifah_taniji/074.mp3;05:55
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/khalifah_taniji/075.mp3;03:30
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/khalifah_taniji/076.mp3;05:28
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/khalifah_taniji/077.mp3;04:56
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/khalifah_taniji/078.mp3;04:17
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/khalifah_taniji/079.mp3;03:55
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/khalifah_taniji/080.mp3;03:21
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/khalifah_taniji/081.mp3;02:33
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/khalifah_taniji/082.mp3;02:02
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/khalifah_taniji/083.mp3;04:41
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/khalifah_taniji/084.mp3;02:27
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/khalifah_taniji/085.mp3;02:42
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/khalifah_taniji/086.mp3;01:29
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/khalifah_taniji/087.mp3;01:36
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/khalifah_taniji/088.mp3;02:02
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/khalifah_taniji/089.mp3;03:13
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/khalifah_taniji/090.mp3;01:43
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/khalifah_taniji/091.mp3;01:16
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/khalifah_taniji/092.mp3;01:41
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/khalifah_taniji/093.mp3;00:57
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/khalifah_taniji/094.mp3;00:36
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/khalifah_taniji/095.mp3;00:56
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/khalifah_taniji/096.mp3;01:25
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/khalifah_taniji/097.mp3;00:39
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/khalifah_taniji/098.mp3;01:49
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/khalifah_taniji/099.mp3;00:49
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/khalifah_taniji/100.mp3;01:00
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/khalifah_taniji/101.mp3;00:52
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/khalifah_taniji/102.mp3;00:48
103;Surat  Al-'Asr;https://www.quran.com/103;https://download.quranicaudio.com/quran/khalifah_taniji/103.mp3;00:21
104;Surat  Al-Humazah;https://www.quran.com/104;https://download.quranicaudio.com/quran/khalifah_taniji/104.mp3;00:46
105;Surat  Al-Fil;https://www.quran.com/105;https://download.quranicaudio.com/quran/khalifah_taniji/105.mp3;00:38
106;Surat  Quraysh;https://www.quran.com/106;https://download.quranicaudio.com/quran/khalifah_taniji/106.mp3;00:33
