number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/001.mp3;01:02
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/002.mp3;02:14:35
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/003.mp3;01:18:35
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/004.mp3;01:20:59
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/005.mp3;01:02:02
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/006.mp3;01:13:04
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/007.mp3;01:22:12
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/008.mp3;29:41
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/009.mp3;58:58
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/010.mp3;45:40
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/011.mp3;48:49
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/012.mp3;45:41
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/013.mp3;22:09
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/014.mp3;22:26
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/015.mp3;20:12
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/016.mp3;47:01
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/017.mp3;36:02
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/018.mp3;37:30
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/019.mp3;22:42
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/020.mp3;30:08
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/021.mp3;30:56
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/022.mp3;31:04
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/023.mp3;28:58
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/024.mp3;32:12
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/025.mp3;20:51
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/026.mp3;38:11
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/maher_almu3aiqly/year1440/027.mp3;31:03
