number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/001.mp3;00:34
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/002.mp3;02:00:47
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/003.mp3;01:12:44
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/004.mp3;01:20:32
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/005.mp3;59:40
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/006.mp3;01:05:09
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/007.mp3;01:11:25
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/008.mp3;29:37
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/009.mp3;59:00
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/010.mp3;36:04
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/011.mp3;41:01
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/012.mp3;39:35
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/013.mp3;19:07
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/014.mp3;19:23
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/015.mp3;15:01
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/016.mp3;39:51
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/017.mp3;34:06
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/018.mp3;35:59
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/019.mp3;22:33
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/020.mp3;31:01
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/021.mp3;27:41
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mahmood_khaleel_al-husaree_iza3a/022.mp3;27:21
