number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/001.mp3;00:51
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/002.mp3;02:05:54
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/003.mp3;01:18:45
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/004.mp3;01:19:57
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/005.mp3;01:03:01
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/006.mp3;01:12:30
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/007.mp3;01:23:15
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/008.mp3;30:38
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/009.mp3;01:00:24
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/010.mp3;44:50
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/011.mp3;46:25
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/012.mp3;42:04
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/013.mp3;20:30
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/014.mp3;20:27
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/015.mp3;15:54
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/016.mp3;42:23
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/017.mp3;33:17
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/018.mp3;33:30
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/019.mp3;21:22
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/020.mp3;27:07
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/021.mp3;26:24
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/022.mp3;29:32
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/023.mp3;24:59
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/024.mp3;30:40
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/025.mp3;18:21
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/026.mp3;30:46
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/027.mp3;26:12
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/028.mp3;31:43
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/mishaari_raashid_al_3afaasee/029.mp3;21:25
