number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mohammad_altablawi/001.mp3;00:52
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mohammad_altablawi/002.mp3;02:16:44
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mohammad_altablawi/003.mp3;01:27:19
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mohammad_altablawi/004.mp3;01:28:33
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mohammad_altablawi/005.mp3;01:07:22
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mohammad_altablawi/006.mp3;01:17:17
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mohammad_altablawi/007.mp3;01:12:58
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mohammad_altablawi/008.mp3;26:58
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mohammad_altablawi/009.mp3;56:10
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mohammad_altablawi/010.mp3;43:00
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mohammad_altablawi/011.mp3;43:44
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mohammad_altablawi/012.mp3;40:28
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mohammad_altablawi/013.mp3;17:08
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mohammad_altablawi/014.mp3;16:46
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mohammad_altablawi/015.mp3;14:42
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mohammad_altablawi/016.mp3;36:10
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mohammad_altablawi/017.mp3;34:07
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mohammad_altablawi/018.mp3;30:57
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mohammad_altablawi/019.mp3;19:33
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mohammad_altablawi/020.mp3;26:24
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mohammad_altablawi/021.mp3;24:42
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mohammad_altablawi/022.mp3;25:59
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mohammad_altablawi/023.mp3;24:55
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mohammad_altablawi/024.mp3;29:50
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mohammad_altablawi/025.mp3;18:36
