number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mostafa_ismaeel/001.mp3;00:46
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mostafa_ismaeel/002.mp3;02:02:42
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mostafa_ismaeel/003.mp3;01:07:08
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mostafa_ismaeel/004.mp3;01:23:20
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mostafa_ismaeel/005.mp3;53:41
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mostafa_ismaeel/006.mp3;01:02:57
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mostafa_ismaeel/007.mp3;01:20:10
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mostafa_ismaeel/008.mp3;31:35
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mostafa_ismaeel/009.mp3;55:56
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mostafa_ismaeel/010.mp3;40:29
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mostafa_ismaeel/011.mp3;51:07
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mostafa_ismaeel/012.mp3;46:52
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mostafa_ismaeel/013.mp3;22:31
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mostafa_ismaeel/014.mp3;22:31
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mostafa_ismaeel/015.mp3;16:03
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mostafa_ismaeel/016.mp3;45:43
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mostafa_ismaeel/017.mp3;38:31
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mostafa_ismaeel/018.mp3;41:37
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mostafa_ismaeel/019.mp3;25:56
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mostafa_ismaeel/020.mp3;26:51
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mostafa_ismaeel/021.mp3;23:11
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mostafa_ismaeel/022.mp3;26:21
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mostafa_ismaeel/023.mp3;22:50
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mostafa_ismaeel/024.mp3;28:18
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mostafa_ismaeel/025.mp3;20:13
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/mostafa_ismaeel/026.mp3;31:11
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/mostafa_ismaeel/027.mp3;27:28
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/mostafa_ismaeel/028.mp3;34:25
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/mostafa_ismaeel/029.mp3;23:54
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/mostafa_ismaeel/030.mp3;18:19
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/mostafa_ismaeel/031.mp3;11:48
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/mostafa_ismaeel/032.mp3;08:28
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/mostafa_ismaeel/033.mp3;32:23
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/mostafa_ismaeel/034.mp3;20:51
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/mostafa_ismaeel/035.mp3;19:20
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/mostafa_ismaeel/036.mp3;17:23
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/mostafa_ismaeel/037.mp3;20:35
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/mostafa_ismaeel/038.mp3;16:03
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/mostafa_ismaeel/039.mp3;26:46
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/mostafa_ismaeel/040.mp3;30:14
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/mostafa_ismaeel/041.mp3;20:55
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/mostafa_ismaeel/042.mp3;22:39
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/mostafa_ismaeel/043.mp3;21:10
