number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/001.mp3;00:44
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/002.mp3;01:43:30
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/003.mp3;55:55
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/004.mp3;56:25
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/005.mp3;50:23
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/006.mp3;46:20
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/007.mp3;55:42
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/008.mp3;23:24
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/009.mp3;45:30
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/010.mp3;29:24
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/011.mp3;27:47
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/012.mp3;34:09
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/013.mp3;12:37
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/014.mp3;14:46
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/015.mp3;10:41
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/016.mp3;31:04
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/017.mp3;25:12
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/018.mp3;24:26
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/019.mp3;11:59
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/020.mp3;18:28
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/021.mp3;18:16
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/022.mp3;20:40
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/023.mp3;16:39
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/024.mp3;21:15
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/025.mp3;15:01
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/026.mp3;20:18
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/027.mp3;18:17
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/028.mp3;20:23
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/029.mp3;15:40
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/030.mp3;11:31
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/031.mp3;05:09
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/032.mp3;03:59
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/033.mp3;20:04
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/034.mp3;13:16
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/muhammad_ayyoob_hq/035.mp3;14:18
