number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mu7ammad_7assan/001.mp3;00:30
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mu7ammad_7assan/002.mp3;01:44:29
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mu7ammad_7assan/003.mp3;01:11:23
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mu7ammad_7assan/004.mp3;01:12:09
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mu7ammad_7assan/005.mp3;56:21
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mu7ammad_7assan/006.mp3;01:01:40
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mu7ammad_7assan/007.mp3;01:11:06
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mu7ammad_7assan/008.mp3;26:03
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mu7ammad_7assan/009.mp3;45:44
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mu7ammad_7assan/010.mp3;33:12
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mu7ammad_7assan/011.mp3;33:13
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mu7ammad_7assan/012.mp3;30:56
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mu7ammad_7assan/013.mp3;15:14
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mu7ammad_7assan/014.mp3;15:11
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mu7ammad_7assan/015.mp3;12:17
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mu7ammad_7assan/016.mp3;34:19
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mu7ammad_7assan/017.mp3;27:38
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mu7ammad_7assan/018.mp3;28:13
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mu7ammad_7assan/019.mp3;18:55
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mu7ammad_7assan/020.mp3;24:19
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mu7ammad_7assan/021.mp3;22:45
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mu7ammad_7assan/022.mp3;26:27
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mu7ammad_7assan/023.mp3;22:10
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mu7ammad_7assan/024.mp3;27:01
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mu7ammad_7assan/025.mp3;16:52
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/mu7ammad_7assan/026.mp3;24:46
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/mu7ammad_7assan/027.mp3;22:33
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/mu7ammad_7assan/028.mp3;26:09
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/mu7ammad_7assan/029.mp3;18:52
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/mu7ammad_7assan/030.mp3;14:53
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/mu7ammad_7assan/031.mp3;09:03
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/mu7ammad_7assan/032.mp3;06:22
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/mu7ammad_7assan/033.mp3;24:28
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/mu7ammad_7assan/034.mp3;15:49
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/mu7ammad_7assan/035.mp3;15:23
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/mu7ammad_7assan/036.mp3;12:59
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/mu7ammad_7assan/037.mp3;16:40
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/mu7ammad_7assan/038.mp3;12:34
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/mu7ammad_7assan/039.mp3;21:45
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/mu7ammad_7assan/040.mp3;20:20
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/mu7ammad_7assan/041.mp3;13:50
