number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/001.mp3;00:46
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/002.mp3;02:09:08
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/003.mp3;01:08:49
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/004.mp3;01:13:11
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/005.mp3;53:42
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/006.mp3;01:02:54
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/007.mp3;01:06:00
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/008.mp3;24:14
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/009.mp3;50:52
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/010.mp3;37:20
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/011.mp3;36:14
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/012.mp3;34:01
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/013.mp3;17:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/014.mp3;16:38
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/015.mp3;11:53
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/016.mp3;34:35
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/017.mp3;29:01
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/018.mp3;29:23
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/019.mp3;17:17
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/020.mp3;23:51
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/021.mp3;20:29
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/022.mp3;23:05
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/023.mp3;21:46
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/024.mp3;28:37
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/025.mp3;18:20
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/026.mp3;24:04
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/027.mp3;23:56
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/028.mp3;29:41
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/029.mp3;20:33
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/030.mp3;16:49
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/031.mp3;11:13
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/032.mp3;07:58
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/033.mp3;28:50
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/034.mp3;17:53
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/035.mp3;16:38
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/036.mp3;15:18
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/037.mp3;18:50
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/038.mp3;16:35
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/039.mp3;25:34
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/040.mp3;27:05
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/041.mp3;18:12
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/042.mp3;17:58
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/muhammad_jibreel/complete/043.mp3;17:26
