number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_khaleel/001.mp3;00:47
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_khaleel/015.mp3;12:33
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_khaleel/017.mp3;33:49
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_khaleel/019.mp3;18:35
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_khaleel/021.mp3;26:25
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_khaleel/022.mp3;21:38
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_khaleel/023.mp3;24:10
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_khaleel/025.mp3;15:19
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/muhammad_khaleel/028.mp3;31:27
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/muhammad_khaleel/030.mp3;18:36
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/muhammad_khaleel/031.mp3;12:17
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/muhammad_khaleel/037.mp3;20:53
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/muhammad_khaleel/042.mp3;15:37
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/muhammad_khaleel/046.mp3;11:36
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/muhammad_khaleel/047.mp3;10:24
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/muhammad_khaleel/052.mp3;05:42
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/muhammad_khaleel/053.mp3;07:04
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/muhammad_khaleel/054.mp3;07:41
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/muhammad_khaleel/058.mp3;08:55
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/muhammad_khaleel/059.mp3;08:21
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/muhammad_khaleel/060.mp3;06:41
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/muhammad_khaleel/061.mp3;04:39
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/muhammad_khaleel/067.mp3;05:45
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/muhammad_khaleel/068.mp3;05:55
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/muhammad_khaleel/069.mp3;05:24
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/muhammad_khaleel/070.mp3;04:24
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/muhammad_khaleel/071.mp3;04:29
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/muhammad_khaleel/078.mp3;03:50
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/muhammad_khaleel/079.mp3;03:39
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/muhammad_khaleel/080.mp3;02:52
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/muhammad_khaleel/081.mp3;02:03
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/muhammad_khaleel/082.mp3;01:50
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/muhammad_khaleel/083.mp3;03:27
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/muhammad_khaleel/084.mp3;02:06
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/muhammad_khaleel/085.mp3;02:12
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/muhammad_khaleel/086.mp3;01:17
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/muhammad_khaleel/087.mp3;01:24
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/muhammad_khaleel/088.mp3;01:54
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/muhammad_khaleel/089.mp3;02:50
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/muhammad_khaleel/090.mp3;01:33
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/muhammad_khaleel/091.mp3;01:12
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/muhammad_khaleel/092.mp3;01:31
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/muhammad_khaleel/093.mp3;00:56
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/muhammad_khaleel/094.mp3;00:34
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/muhammad_khaleel/095.mp3;00:44
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/muhammad_khaleel/096.mp3;01:25
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/muhammad_khaleel/097.mp3;00:40
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/muhammad_khaleel/098.mp3;01:48
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/muhammad_khaleel/099.mp3;00:50
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/muhammad_khaleel/100.mp3;00:53
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/muhammad_khaleel/101.mp3;00:50
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/muhammad_khaleel/102.mp3;00:44
103;Surat  Al-'Asr;https://www.quran.com/103;https://download.quranicaudio.com/quran/muhammad_khaleel/103.mp3;00:26
104;Surat  Al-Humazah;https://www.quran.com/104;https://download.quranicaudio.com/quran/muhammad_khaleel/104.mp3;00:49
105;Surat  Al-Fil;https://www.quran.com/105;https://download.quranicaudio.com/quran/muhammad_khaleel/105.mp3;00:33
106;Surat  Quraysh;https://www.quran.com/106;https://download.quranicaudio.com/quran/muhammad_khaleel/106.mp3;00:32
107;Surat  Al-Ma'un;https://www.quran.com/107;https://download.quranicaudio.com/quran/muhammad_khaleel/107.mp3;00:36
108;Surat  Al-Kawthar;https://www.quran.com/108;https://download.quranicaudio.com/quran/muhammad_khaleel/108.mp3;00:24
109;Surat  Al-Kafirun;https://www.quran.com/109;https://download.quranicaudio.com/quran/muhammad_khaleel/109.mp3;00:46
110;Surat  An-Nasr;https://www.quran.com/110;https://download.quranicaudio.com/quran/muhammad_khaleel/110.mp3;00:27
111;Surat  Al-Masad;https://www.quran.com/111;https://download.quranicaudio.com/quran/muhammad_khaleel/111.mp3;00:36
112;Surat  Al-Ikhlas;https://www.quran.com/112;https://download.quranicaudio.com/quran/muhammad_khaleel/112.mp3;00:20
113;Surat  Al-Falaq;https://www.quran.com/113;https://download.quranicaudio.com/quran/muhammad_khaleel/113.mp3;00:33
114;Surat  An-Nas;https://www.quran.com/114;https://download.quranicaudio.com/quran/muhammad_khaleel/114.mp3;00:45
