number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/minshawi_mujawwad/001.mp3;02:57
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/minshawi_mujawwad/002.mp3;05:05:42
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/minshawi_mujawwad/003.mp3;03:05:12
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/minshawi_mujawwad/004.mp3;03:15:48
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/minshawi_mujawwad/005.mp3;02:12:54
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/minshawi_mujawwad/006.mp3;02:43:23
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/minshawi_mujawwad/007.mp3;02:47:39
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/minshawi_mujawwad/008.mp3;01:06:11
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/minshawi_mujawwad/009.mp3;02:15:01
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/minshawi_mujawwad/010.mp3;01:36:01
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/minshawi_mujawwad/011.mp3;01:42:11
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/minshawi_mujawwad/012.mp3;01:38:02
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/minshawi_mujawwad/013.mp3;39:45
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/minshawi_mujawwad/014.mp3;42:10
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/minshawi_mujawwad/015.mp3;33:36
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/minshawi_mujawwad/016.mp3;01:38:42
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/minshawi_mujawwad/017.mp3;01:23:27
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/minshawi_mujawwad/018.mp3;01:07:15
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/minshawi_mujawwad/019.mp3;40:57
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/minshawi_mujawwad/020.mp3;54:25
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/minshawi_mujawwad/021.mp3;58:37
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/minshawi_mujawwad/022.mp3;01:04:53
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/minshawi_mujawwad/023.mp3;50:32
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/minshawi_mujawwad/024.mp3;01:01:52
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/minshawi_mujawwad/025.mp3;39:15
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/minshawi_mujawwad/026.mp3;49:02
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/minshawi_mujawwad/027.mp3;49:28
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/minshawi_mujawwad/028.mp3;51:37
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/minshawi_mujawwad/029.mp3;40:31
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/minshawi_mujawwad/030.mp3;33:36
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/minshawi_mujawwad/031.mp3;22:01
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/minshawi_mujawwad/033.mp3;01:02:20
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/minshawi_mujawwad/034.mp3;39:41
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/minshawi_mujawwad/035.mp3;32:45
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/minshawi_mujawwad/036.mp3;32:00
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/minshawi_mujawwad/037.mp3;36:33
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/minshawi_mujawwad/038.mp3;32:23
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/minshawi_mujawwad/039.mp3;51:48
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/minshawi_mujawwad/040.mp3;55:44
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/minshawi_mujawwad/041.mp3;38:45
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/minshawi_mujawwad/042.mp3;40:04
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/minshawi_mujawwad/043.mp3;40:03
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/minshawi_mujawwad/044.mp3;17:56
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/minshawi_mujawwad/045.mp3;20:49
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/minshawi_mujawwad/047.mp3;24:28
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/minshawi_mujawwad/048.mp3;24:03
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/minshawi_mujawwad/049.mp3;18:30
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/minshawi_mujawwad/050.mp3;14:16
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/minshawi_mujawwad/051.mp3;17:32
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/minshawi_mujawwad/052.mp3;14:31
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/minshawi_mujawwad/053.mp3;15:23
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/minshawi_mujawwad/054.mp3;14:29
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/minshawi_mujawwad/055.mp3;18:36
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/minshawi_mujawwad/056.mp3;16:34
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/minshawi_mujawwad/057.mp3;27:51
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/minshawi_mujawwad/058.mp3;19:15
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/minshawi_mujawwad/059.mp3;18:17
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/minshawi_mujawwad/060.mp3;16:34
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/minshawi_mujawwad/061.mp3;09:57
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/minshawi_mujawwad/062.mp3;06:51
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/minshawi_mujawwad/063.mp3;07:51
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/minshawi_mujawwad/064.mp3;12:44
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/minshawi_mujawwad/065.mp3;12:18
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/minshawi_mujawwad/066.mp3;13:53
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/minshawi_mujawwad/067.mp3;15:47
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/minshawi_mujawwad/068.mp3;12:52
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/minshawi_mujawwad/069.mp3;11:08
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/minshawi_mujawwad/070.mp3;07:57
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/minshawi_mujawwad/071.mp3;11:02
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/minshawi_mujawwad/072.mp3;11:35
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/minshawi_mujawwad/073.mp3;08:43
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/minshawi_mujawwad/074.mp3;11:20
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/minshawi_mujawwad/075.mp3;05:57
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/minshawi_mujawwad/076.mp3;11:16
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/minshawi_mujawwad/077.mp3;08:54
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/minshawi_mujawwad/078.mp3;09:05
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/minshawi_mujawwad/079.mp3;06:41
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/minshawi_mujawwad/080.mp3;06:37
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/minshawi_mujawwad/081.mp3;04:37
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/minshawi_mujawwad/082.mp3;04:14
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/minshawi_mujawwad/083.mp3;08:09
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/minshawi_mujawwad/084.mp3;04:33
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/minshawi_mujawwad/085.mp3;04:45
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/minshawi_mujawwad/086.mp3;03:05
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/minshawi_mujawwad/087.mp3;02:47
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/minshawi_mujawwad/088.mp3;04:06
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/minshawi_mujawwad/089.mp3;06:31
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/minshawi_mujawwad/090.mp3;03:54
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/minshawi_mujawwad/091.mp3;02:59
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/minshawi_mujawwad/092.mp3;03:12
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/minshawi_mujawwad/093.mp3;02:11
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/minshawi_mujawwad/094.mp3;01:55
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/minshawi_mujawwad/095.mp3;01:44
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/minshawi_mujawwad/096.mp3;03:14
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/minshawi_mujawwad/097.mp3;01:11
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/minshawi_mujawwad/098.mp3;04:19
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/minshawi_mujawwad/099.mp3;01:47
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/minshawi_mujawwad/100.mp3;01:55
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/minshawi_mujawwad/101.mp3;01:35
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/minshawi_mujawwad/102.mp3;01:13
103;Surat  Al-'Asr;https://www.quran.com/103;https://download.quranicaudio.com/quran/minshawi_mujawwad/103.mp3;00:49
104;Surat  Al-Humazah;https://www.quran.com/104;https://download.quranicaudio.com/quran/minshawi_mujawwad/104.mp3;01:25
105;Surat  Al-Fil;https://www.quran.com/105;https://download.quranicaudio.com/quran/minshawi_mujawwad/105.mp3;01:16
