number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/001.mp3;00:51
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/002.mp3;02:16:56
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/003.mp3;01:26:47
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/004.mp3;01:26:09
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/005.mp3;01:07:15
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/006.mp3;01:06:41
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/007.mp3;01:12:50
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/008.mp3;29:42
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/009.mp3;54:10
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/010.mp3;43:23
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/011.mp3;47:56
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/012.mp3;45:01
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/013.mp3;19:14
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/014.mp3;18:38
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/015.mp3;14:17
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/016.mp3;37:09
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/017.mp3;32:00
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/018.mp3;35:02
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/019.mp3;21:05
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/020.mp3;27:06
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/021.mp3;28:40
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/022.mp3;27:38
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/023.mp3;23:34
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/024.mp3;29:11
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/025.mp3;18:01
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/muhammad_siddeeq_al-minshaawee/026.mp3;26:56
