number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_patel/001.mp3;00:51
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/muhammad_patel/002.mp3;01:35:57
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/muhammad_patel/003.mp3;51:57
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/muhammad_patel/004.mp3;54:23
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/muhammad_patel/005.mp3;41:18
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/muhammad_patel/006.mp3;44:22
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/muhammad_patel/007.mp3;49:59
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/muhammad_patel/008.mp3;18:32
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/muhammad_patel/009.mp3;36:09
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/muhammad_patel/010.mp3;26:28
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/muhammad_patel/011.mp3;27:53
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/muhammad_patel/012.mp3;26:25
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/muhammad_patel/013.mp3;11:52
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/muhammad_patel/014.mp3;12:31
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_patel/015.mp3;09:20
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/muhammad_patel/016.mp3;25:41
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_patel/017.mp3;20:23
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/muhammad_patel/018.mp3;21:32
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_patel/019.mp3;12:39
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/muhammad_patel/020.mp3;18:37
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_patel/021.mp3;16:37
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_patel/022.mp3;17:34
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_patel/023.mp3;14:30
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/muhammad_patel/024.mp3;19:09
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_patel/025.mp3;12:02
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/muhammad_patel/026.mp3;18:57
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/muhammad_patel/027.mp3;16:36
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/muhammad_patel/028.mp3;19:49
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/muhammad_patel/029.mp3;14:30
