number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/muhammad_alhaidan/001.mp3;00:36
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/muhammad_alhaidan/003.mp3;01:09:11
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/muhammad_alhaidan/004.mp3;01:05:15
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/muhammad_alhaidan/005.mp3;53:17
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/muhammad_alhaidan/007.mp3;01:04:29
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/muhammad_alhaidan/008.mp3;23:55
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/muhammad_alhaidan/009.mp3;53:31
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/muhammad_alhaidan/010.mp3;35:20
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/muhammad_alhaidan/011.mp3;35:58
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/muhammad_alhaidan/012.mp3;37:07
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/muhammad_alhaidan/013.mp3;17:53
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/muhammad_alhaidan/014.mp3;21:24
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/muhammad_alhaidan/015.mp3;13:31
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/muhammad_alhaidan/016.mp3;40:18
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/muhammad_alhaidan/017.mp3;28:55
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/muhammad_alhaidan/018.mp3;26:17
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/muhammad_alhaidan/019.mp3;20:15
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/muhammad_alhaidan/020.mp3;22:24
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/muhammad_alhaidan/021.mp3;23:25
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/muhammad_alhaidan/022.mp3;22:52
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/muhammad_alhaidan/023.mp3;21:45
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/muhammad_alhaidan/024.mp3;27:11
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/muhammad_alhaidan/025.mp3;20:23
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/muhammad_alhaidan/026.mp3;24:59
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/muhammad_alhaidan/027.mp3;22:00
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/muhammad_alhaidan/028.mp3;08:07
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/muhammad_alhaidan/029.mp3;19:02
