number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mehysni/001.mp3;00:25
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mehysni/002.mp3;01:35:23
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mehysni/003.mp3;59:46
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mehysni/004.mp3;59:37
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mehysni/005.mp3;44:56
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mehysni/007.mp3;57:36
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mehysni/008.mp3;20:44
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mehysni/009.mp3;45:08
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mehysni/010.mp3;32:15
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mehysni/011.mp3;27:24
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mehysni/012.mp3;24:16
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mehysni/013.mp3;12:38
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mehysni/014.mp3;15:14
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mehysni/015.mp3;11:15
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mehysni/016.mp3;27:18
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mehysni/017.mp3;24:59
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mehysni/018.mp3;24:24
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mehysni/019.mp3;15:22
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mehysni/020.mp3;20:02
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mehysni/021.mp3;17:43
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mehysni/022.mp3;20:10
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mehysni/023.mp3;20:30
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mehysni/024.mp3;20:20
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mehysni/025.mp3;18:27
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/mehysni/026.mp3;19:55
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/mehysni/027.mp3;18:38
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/mehysni/028.mp3;23:02
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/mehysni/029.mp3;18:53
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/mehysni/030.mp3;11:19
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/mehysni/031.mp3;09:55
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/mehysni/032.mp3;06:35
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/mehysni/034.mp3;12:44
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/mehysni/035.mp3;12:26
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/mehysni/036.mp3;11:17
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/mehysni/037.mp3;13:59
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/mehysni/038.mp3;10:15
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/mehysni/039.mp3;23:14
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/mehysni/040.mp3;19:42
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/mehysni/041.mp3;10:35
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/mehysni/042.mp3;10:31
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/mehysni/043.mp3;10:53
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/mehysni/044.mp3;05:23
