number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/mustafa_al3azzawi/001.mp3;00:52
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/mustafa_al3azzawi/002.mp3;02:12:34
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/mustafa_al3azzawi/003.mp3;01:14:01
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/mustafa_al3azzawi/004.mp3;01:14:02
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/mustafa_al3azzawi/005.mp3;54:38
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/mustafa_al3azzawi/006.mp3;58:08
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/mustafa_al3azzawi/007.mp3;01:05:04
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/mustafa_al3azzawi/008.mp3;23:44
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/mustafa_al3azzawi/009.mp3;47:26
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/mustafa_al3azzawi/010.mp3;35:08
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/mustafa_al3azzawi/011.mp3;35:54
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/mustafa_al3azzawi/012.mp3;33:20
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/mustafa_al3azzawi/013.mp3;15:46
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/mustafa_al3azzawi/014.mp3;15:33
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/mustafa_al3azzawi/015.mp3;14:18
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/mustafa_al3azzawi/016.mp3;33:35
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/mustafa_al3azzawi/017.mp3;29:08
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/mustafa_al3azzawi/018.mp3;30:39
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/mustafa_al3azzawi/019.mp3;18:28
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/mustafa_al3azzawi/020.mp3;24:42
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/mustafa_al3azzawi/021.mp3;23:15
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/mustafa_al3azzawi/022.mp3;23:09
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/mustafa_al3azzawi/023.mp3;21:53
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/mustafa_al3azzawi/024.mp3;26:04
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/mustafa_al3azzawi/025.mp3;17:20
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/mustafa_al3azzawi/026.mp3;26:45
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/mustafa_al3azzawi/027.mp3;23:08
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/mustafa_al3azzawi/028.mp3;28:06
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/mustafa_al3azzawi/029.mp3;19:15
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/mustafa_al3azzawi/030.mp3;16:03
