number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/001.mp3;00:39
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/002.mp3;02:05:53
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/003.mp3;01:15:15
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/004.mp3;01:13:23
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/005.mp3;57:01
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/006.mp3;01:02:35
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/007.mp3;01:05:49
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/008.mp3;25:15
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/009.mp3;52:11
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/010.mp3;37:51
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/011.mp3;41:50
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/012.mp3;36:43
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/013.mp3;17:36
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/014.mp3;19:10
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/015.mp3;14:07
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/016.mp3;38:50
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/017.mp3;31:10
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/018.mp3;30:47
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/019.mp3;20:18
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/020.mp3;25:14
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/021.mp3;26:01
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/022.mp3;27:52
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/023.mp3;23:25
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/024.mp3;27:40
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/025.mp3;18:32
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/nasser_bin_ali_alqatami/026.mp3;27:44
