number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/001.mp3;00:37
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/002.mp3;01:27:02
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/003.mp3;47:10
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/004.mp3;52:17
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/005.mp3;39:39
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/006.mp3;43:08
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/007.mp3;48:14
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/008.mp3;18:07
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/009.mp3;35:50
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/010.mp3;24:25
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/011.mp3;26:45
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/012.mp3;25:11
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/013.mp3;12:38
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/014.mp3;12:48
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/015.mp3;09:31
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/016.mp3;25:34
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/017.mp3;21:25
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/018.mp3;21:26
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/019.mp3;12:50
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/020.mp3;17:03
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/021.mp3;16:30
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/022.mp3;16:35
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/023.mp3;14:56
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/024.mp3;18:30
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/025.mp3;12:48
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/026.mp3;18:56
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/027.mp3;16:04
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/028.mp3;19:51
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/029.mp3;13:44
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/030.mp3;10:59
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/031.mp3;07:08
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/032.mp3;04:58
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/033.mp3;18:14
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/034.mp3;11:48
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/035.mp3;10:44
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/036.mp3;10:17
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/037.mp3;12:45
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/038.mp3;10:36
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/039.mp3;16:18
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/040.mp3;16:26
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/041.mp3;11:47
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/042.mp3;11:25
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/043.mp3;12:29
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/044.mp3;05:46
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/045.mp3;06:51
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/046.mp3;08:36
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/047.mp3;07:35
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/048.mp3;08:41
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/049.mp3;05:28
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/050.mp3;05:18
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/051.mp3;05:03
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/052.mp3;04:20
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/053.mp3;04:49
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/054.mp3;04:54
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/055.mp3;06:15
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/056.mp3;06:36
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/057.mp3;08:01
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/058.mp3;07:01
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/059.mp3;05:59
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/060.mp3;04:40
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/061.mp3;02:56
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/062.mp3;02:28
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/063.mp3;02:49
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/064.mp3;03:25
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/065.mp3;04:04
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/066.mp3;03:45
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/067.mp3;04:33
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/068.mp3;04:29
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/069.mp3;04:27
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/070.mp3;03:20
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/071.mp3;03:13
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/072.mp3;03:48
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/073.mp3;02:50
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/074.mp3;03:42
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/075.mp3;02:18
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/076.mp3;03:40
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/077.mp3;02:56
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/078.mp3;02:56
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/079.mp3;02:42
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/080.mp3;02:11
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/081.mp3;01:45
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/082.mp3;01:09
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/083.mp3;02:31
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/084.mp3;01:32
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/085.mp3;01:30
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/086.mp3;00:54
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/087.mp3;01:01
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/088.mp3;01:14
89;Surat  Al-Fajr;https://www.quran.com/89;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/089.mp3;02:03
90;Surat  Al-Balad;https://www.quran.com/90;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/090.mp3;01:03
91;Surat  Ash-Shams;https://www.quran.com/91;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/091.mp3;00:50
92;Surat  Al-Layl;https://www.quran.com/92;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/092.mp3;01:00
93;Surat  Ad-Duhaa;https://www.quran.com/93;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/093.mp3;00:36
94;Surat  Ash-Sharh;https://www.quran.com/94;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/094.mp3;00:22
95;Surat  At-Tin;https://www.quran.com/95;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/095.mp3;00:32
96;Surat  Al-'Alaq;https://www.quran.com/96;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/096.mp3;00:56
97;Surat  Al-Qadr;https://www.quran.com/97;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/097.mp3;00:22
98;Surat  Al-Bayyinah;https://www.quran.com/98;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/098.mp3;01:12
99;Surat  Az-Zalzalah;https://www.quran.com/99;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/099.mp3;00:35
100;Surat  Al-'Adiyat;https://www.quran.com/100;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/100.mp3;00:40
101;Surat  Al-Qari'ah;https://www.quran.com/101;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/101.mp3;00:34
102;Surat  At-Takathur;https://www.quran.com/102;https://download.quranicaudio.com/quran/sa3ood_al-shuraym/102.mp3;00:28
