number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/sadaqat_ali/001.mp3;00:43
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/sadaqat_ali/002.mp3;01:39:32
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/sadaqat_ali/003.mp3;52:16
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/sadaqat_ali/004.mp3;01:02:26
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/sadaqat_ali/005.mp3;48:17
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/sadaqat_ali/006.mp3;45:14
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/sadaqat_ali/007.mp3;57:15
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/sadaqat_ali/008.mp3;20:39
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/sadaqat_ali/009.mp3;39:37
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/sadaqat_ali/010.mp3;26:47
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/sadaqat_ali/011.mp3;28:13
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/sadaqat_ali/012.mp3;26:17
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/sadaqat_ali/013.mp3;13:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/sadaqat_ali/014.mp3;10:36
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/sadaqat_ali/015.mp3;10:13
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/sadaqat_ali/016.mp3;24:37
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/sadaqat_ali/017.mp3;23:41
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/sadaqat_ali/018.mp3;21:38
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/sadaqat_ali/019.mp3;14:32
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/sadaqat_ali/020.mp3;18:36
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/sadaqat_ali/021.mp3;19:15
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/sadaqat_ali/022.mp3;20:35
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/sadaqat_ali/023.mp3;19:02
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/sadaqat_ali/024.mp3;21:11
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/sadaqat_ali/025.mp3;16:50
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/sadaqat_ali/026.mp3;22:39
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/sadaqat_ali/027.mp3;21:55
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/sadaqat_ali/028.mp3;28:29
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/sadaqat_ali/029.mp3;15:45
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/sadaqat_ali/030.mp3;12:47
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/sadaqat_ali/031.mp3;09:30
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/sadaqat_ali/032.mp3;07:20
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/sadaqat_ali/033.mp3;22:31
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/sadaqat_ali/034.mp3;14:03
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/sadaqat_ali/035.mp3;13:47
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/sadaqat_ali/036.mp3;14:07
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/sadaqat_ali/037.mp3;16:51
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/sadaqat_ali/038.mp3;12:39
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/sadaqat_ali/039.mp3;21:28
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/sadaqat_ali/040.mp3;23:22
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/sadaqat_ali/041.mp3;15:05
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/sadaqat_ali/042.mp3;13:53
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/sadaqat_ali/043.mp3;16:18
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/sadaqat_ali/044.mp3;06:42
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/sadaqat_ali/045.mp3;08:51
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/sadaqat_ali/046.mp3;09:38
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/sadaqat_ali/047.mp3;11:03
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/sadaqat_ali/048.mp3;08:26
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/sadaqat_ali/049.mp3;06:19
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/sadaqat_ali/050.mp3;07:56
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/sadaqat_ali/051.mp3;06:08
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/sadaqat_ali/052.mp3;06:59
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/sadaqat_ali/053.mp3;05:08
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/sadaqat_ali/054.mp3;06:25
