number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/sahl_yaaseen/001.mp3;00:41
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/sahl_yaaseen/002.mp3;01:51:53
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/sahl_yaaseen/003.mp3;01:07:35
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/sahl_yaaseen/004.mp3;01:10:20
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/sahl_yaaseen/005.mp3;52:26
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/sahl_yaaseen/006.mp3;57:44
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/sahl_yaaseen/007.mp3;01:01:44
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/sahl_yaaseen/008.mp3;24:27
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/sahl_yaaseen/009.mp3;48:28
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/sahl_yaaseen/010.mp3;32:52
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/sahl_yaaseen/011.mp3;36:23
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/sahl_yaaseen/012.mp3;31:42
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/sahl_yaaseen/013.mp3;16:18
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/sahl_yaaseen/014.mp3;18:02
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/sahl_yaaseen/015.mp3;12:47
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/sahl_yaaseen/016.mp3;32:08
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/sahl_yaaseen/017.mp3;27:48
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/sahl_yaaseen/018.mp3;28:30
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/sahl_yaaseen/019.mp3;17:06
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/sahl_yaaseen/020.mp3;22:32
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/sahl_yaaseen/021.mp3;21:44
