number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/salah_alhashim/001.mp3;00:52
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/salah_alhashim/002.mp3;01:59:56
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/salah_alhashim/003.mp3;01:09:26
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/salah_alhashim/004.mp3;01:12:24
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/salah_alhashim/005.mp3;56:51
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/salah_alhashim/006.mp3;01:01:09
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/salah_alhashim/007.mp3;01:10:35
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/salah_alhashim/008.mp3;25:14
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/salah_alhashim/009.mp3;51:35
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/salah_alhashim/010.mp3;39:41
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/salah_alhashim/011.mp3;40:19
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/salah_alhashim/012.mp3;36:41
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/salah_alhashim/013.mp3;17:54
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/salah_alhashim/014.mp3;18:32
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/salah_alhashim/015.mp3;13:43
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/salah_alhashim/016.mp3;38:16
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/salah_alhashim/017.mp3;32:03
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/salah_alhashim/018.mp3;29:43
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/salah_alhashim/019.mp3;19:43
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/salah_alhashim/020.mp3;24:33
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/salah_alhashim/021.mp3;25:41
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/salah_alhashim/022.mp3;26:01
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/salah_alhashim/023.mp3;22:28
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/salah_alhashim/024.mp3;27:34
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/salah_alhashim/025.mp3;18:00
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/salah_alhashim/026.mp3;28:50
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/salah_alhashim/027.mp3;23:17
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/salah_alhashim/028.mp3;30:01
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/salah_alhashim/029.mp3;20:33
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/salah_alhashim/030.mp3;16:35
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/salah_alhashim/031.mp3;10:00
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/salah_alhashim/032.mp3;08:15
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/salah_alhashim/033.mp3;27:06
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/salah_alhashim/034.mp3;16:40
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/salah_alhashim/035.mp3;15:00
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/salah_alhashim/036.mp3;14:52
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/salah_alhashim/037.mp3;19:55
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/salah_alhashim/038.mp3;15:47
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/salah_alhashim/040.mp3;26:10
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/salah_alhashim/041.mp3;17:32
