number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/salaah_bukhaatir/001.mp3;00:51
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/salaah_bukhaatir/002.mp3;01:53:39
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/salaah_bukhaatir/003.mp3;01:04:54
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/salaah_bukhaatir/004.mp3;01:07:15
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/salaah_bukhaatir/005.mp3;49:16
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/salaah_bukhaatir/006.mp3;52:19
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/salaah_bukhaatir/007.mp3;01:02:54
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/salaah_bukhaatir/008.mp3;22:59
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/salaah_bukhaatir/009.mp3;44:20
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/salaah_bukhaatir/010.mp3;30:47
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/salaah_bukhaatir/011.mp3;34:15
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/salaah_bukhaatir/012.mp3;30:42
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/salaah_bukhaatir/013.mp3;14:58
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/salaah_bukhaatir/014.mp3;16:22
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/salaah_bukhaatir/015.mp3;12:42
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/salaah_bukhaatir/016.mp3;32:27
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/salaah_bukhaatir/017.mp3;26:22
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/salaah_bukhaatir/018.mp3;25:57
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/salaah_bukhaatir/019.mp3;16:19
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/salaah_bukhaatir/020.mp3;21:25
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/salaah_bukhaatir/021.mp3;20:53
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/salaah_bukhaatir/022.mp3;21:42
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/salaah_bukhaatir/023.mp3;18:52
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/salaah_bukhaatir/024.mp3;22:54
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/salaah_bukhaatir/025.mp3;15:33
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/salaah_bukhaatir/026.mp3;24:54
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/salaah_bukhaatir/027.mp3;21:06
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/salaah_bukhaatir/028.mp3;24:37
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/salaah_bukhaatir/029.mp3;17:06
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/salaah_bukhaatir/030.mp3;14:25
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/salaah_bukhaatir/031.mp3;09:14
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/salaah_bukhaatir/032.mp3;07:25
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/salaah_bukhaatir/033.mp3;23:54
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/salaah_bukhaatir/034.mp3;15:33
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/salaah_bukhaatir/035.mp3;15:14
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/salaah_bukhaatir/036.mp3;12:59
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/salaah_bukhaatir/037.mp3;18:39
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/salaah_bukhaatir/038.mp3;14:43
