number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/saleh_al_taleb/001.mp3;01:18
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/saleh_al_taleb/025.mp3;14:39
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/saleh_al_taleb/034.mp3;13:58
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/saleh_al_taleb/038.mp3;11:26
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/saleh_al_taleb/039.mp3;18:38
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/saleh_al_taleb/044.mp3;06:02
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/saleh_al_taleb/045.mp3;08:18
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/saleh_al_taleb/046.mp3;10:32
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/saleh_al_taleb/047.mp3;09:00
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/saleh_al_taleb/055.mp3;07:25
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/saleh_al_taleb/056.mp3;07:22
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/saleh_al_taleb/057.mp3;09:24
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/saleh_al_taleb/058.mp3;07:43
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/saleh_al_taleb/059.mp3;07:20
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/saleh_al_taleb/060.mp3;05:54
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/saleh_al_taleb/061.mp3;03:41
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/saleh_al_taleb/070.mp3;03:53
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/saleh_al_taleb/072.mp3;04:05
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/saleh_al_taleb/073.mp3;03:11
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/saleh_al_taleb/074.mp3;03:53
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/saleh_al_taleb/075.mp3;02:29
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/saleh_al_taleb/076.mp3;03:59
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/saleh_al_taleb/077.mp3;03:23
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/saleh_al_taleb/078.mp3;03:23
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/saleh_al_taleb/079.mp3;03:06
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/saleh_al_taleb/080.mp3;02:29
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/saleh_al_taleb/081.mp3;01:48
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/saleh_al_taleb/082.mp3;01:22
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/saleh_al_taleb/083.mp3;02:58
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/saleh_al_taleb/084.mp3;01:46
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/saleh_al_taleb/085.mp3;01:52
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/saleh_al_taleb/086.mp3;01:01
