number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/sodais_and_shuraim/001.mp3;00:37
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/sodais_and_shuraim/002.mp3;01:32:09
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/sodais_and_shuraim/003.mp3;53:44
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/sodais_and_shuraim/004.mp3;57:51
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/sodais_and_shuraim/005.mp3;42:50
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/sodais_and_shuraim/006.mp3;45:34
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/sodais_and_shuraim/008.mp3;20:01
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/sodais_and_shuraim/009.mp3;39:23
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/sodais_and_shuraim/010.mp3;28:34
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/sodais_and_shuraim/011.mp3;29:58
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/sodais_and_shuraim/012.mp3;25:18
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/sodais_and_shuraim/013.mp3;14:50
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/sodais_and_shuraim/014.mp3;13:04
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/sodais_and_shuraim/015.mp3;09:55
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/sodais_and_shuraim/016.mp3;28:51
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/sodais_and_shuraim/017.mp3;25:44
18;Surat  Al-Kahf;https://www.quran.com/18;https://download.quranicaudio.com/quran/sodais_and_shuraim/018.mp3;22:37
19;Surat  Maryam;https://www.quran.com/19;https://download.quranicaudio.com/quran/sodais_and_shuraim/019.mp3;15:15
20;Surat  Taha;https://www.quran.com/20;https://download.quranicaudio.com/quran/sodais_and_shuraim/020.mp3;18:48
21;Surat  Al-Anbya;https://www.quran.com/21;https://download.quranicaudio.com/quran/sodais_and_shuraim/021.mp3;18:25
22;Surat  Al-Haj;https://www.quran.com/22;https://download.quranicaudio.com/quran/sodais_and_shuraim/022.mp3;20:48
23;Surat  Al-Mu'minun;https://www.quran.com/23;https://download.quranicaudio.com/quran/sodais_and_shuraim/023.mp3;16:18
24;Surat  An-Nur;https://www.quran.com/24;https://download.quranicaudio.com/quran/sodais_and_shuraim/024.mp3;21:54
25;Surat  Al-Furqan;https://www.quran.com/25;https://download.quranicaudio.com/quran/sodais_and_shuraim/025.mp3;13:39
26;Surat  Ash-Shu'ara;https://www.quran.com/26;https://download.quranicaudio.com/quran/sodais_and_shuraim/026.mp3;21:07
27;Surat  An-Naml;https://www.quran.com/27;https://download.quranicaudio.com/quran/sodais_and_shuraim/027.mp3;17:07
28;Surat  Al-Qasas;https://www.quran.com/28;https://download.quranicaudio.com/quran/sodais_and_shuraim/028.mp3;22:54
29;Surat  Al-'Ankabut;https://www.quran.com/29;https://download.quranicaudio.com/quran/sodais_and_shuraim/029.mp3;14:11
30;Surat  Ar-Rum;https://www.quran.com/30;https://download.quranicaudio.com/quran/sodais_and_shuraim/030.mp3;13:17
31;Surat  Luqman;https://www.quran.com/31;https://download.quranicaudio.com/quran/sodais_and_shuraim/031.mp3;08:39
32;Surat  As-Sajdah;https://www.quran.com/32;https://download.quranicaudio.com/quran/sodais_and_shuraim/032.mp3;05:07
33;Surat  Al-Ahzab;https://www.quran.com/33;https://download.quranicaudio.com/quran/sodais_and_shuraim/033.mp3;22:31
34;Surat  Saba;https://www.quran.com/34;https://download.quranicaudio.com/quran/sodais_and_shuraim/034.mp3;13:02
35;Surat  Fatir;https://www.quran.com/35;https://download.quranicaudio.com/quran/sodais_and_shuraim/035.mp3;11:00
36;Surat  Ya-Sin;https://www.quran.com/36;https://download.quranicaudio.com/quran/sodais_and_shuraim/036.mp3;13:12
37;Surat  As-Saffat;https://www.quran.com/37;https://download.quranicaudio.com/quran/sodais_and_shuraim/037.mp3;14:19
38;Surat  Sad;https://www.quran.com/38;https://download.quranicaudio.com/quran/sodais_and_shuraim/038.mp3;11:52
39;Surat  Az-Zumar;https://www.quran.com/39;https://download.quranicaudio.com/quran/sodais_and_shuraim/039.mp3;18:43
40;Surat  Ghafir;https://www.quran.com/40;https://download.quranicaudio.com/quran/sodais_and_shuraim/040.mp3;17:32
41;Surat  Fussilat;https://www.quran.com/41;https://download.quranicaudio.com/quran/sodais_and_shuraim/041.mp3;13:42
42;Surat  Ash-Shuraa;https://www.quran.com/42;https://download.quranicaudio.com/quran/sodais_and_shuraim/042.mp3;12:15
43;Surat  Az-Zukhruf;https://www.quran.com/43;https://download.quranicaudio.com/quran/sodais_and_shuraim/043.mp3;14:25
44;Surat  Ad-Dukhan;https://www.quran.com/44;https://download.quranicaudio.com/quran/sodais_and_shuraim/044.mp3;06:29
45;Surat  Al-Jathiyah;https://www.quran.com/45;https://download.quranicaudio.com/quran/sodais_and_shuraim/045.mp3;07:37
46;Surat  Al-Ahqaf;https://www.quran.com/46;https://download.quranicaudio.com/quran/sodais_and_shuraim/046.mp3;09:38
47;Surat  Muhammad;https://www.quran.com/47;https://download.quranicaudio.com/quran/sodais_and_shuraim/047.mp3;07:51
48;Surat  Al-Fath;https://www.quran.com/48;https://download.quranicaudio.com/quran/sodais_and_shuraim/048.mp3;09:38
49;Surat  Al-Hujurat;https://www.quran.com/49;https://download.quranicaudio.com/quran/sodais_and_shuraim/049.mp3;06:09
50;Surat  Qaf;https://www.quran.com/50;https://download.quranicaudio.com/quran/sodais_and_shuraim/050.mp3;07:20
51;Surat  Adh-Dhariyat;https://www.quran.com/51;https://download.quranicaudio.com/quran/sodais_and_shuraim/051.mp3;05:13
52;Surat  At-Tur;https://www.quran.com/52;https://download.quranicaudio.com/quran/sodais_and_shuraim/052.mp3;04:29
53;Surat  An-Najm;https://www.quran.com/53;https://download.quranicaudio.com/quran/sodais_and_shuraim/053.mp3;06:15
54;Surat  Al-Qamar;https://www.quran.com/54;https://download.quranicaudio.com/quran/sodais_and_shuraim/054.mp3;06:25
55;Surat  Ar-Rahman;https://www.quran.com/55;https://download.quranicaudio.com/quran/sodais_and_shuraim/055.mp3;08:48
56;Surat  Al-Waqi'ah;https://www.quran.com/56;https://download.quranicaudio.com/quran/sodais_and_shuraim/056.mp3;06:50
57;Surat  Al-Hadid;https://www.quran.com/57;https://download.quranicaudio.com/quran/sodais_and_shuraim/057.mp3;08:17
58;Surat  Al-Mujadila;https://www.quran.com/58;https://download.quranicaudio.com/quran/sodais_and_shuraim/058.mp3;07:16
59;Surat  Al-Hashr;https://www.quran.com/59;https://download.quranicaudio.com/quran/sodais_and_shuraim/059.mp3;07:45
60;Surat  Al-Mumtahanah;https://www.quran.com/60;https://download.quranicaudio.com/quran/sodais_and_shuraim/060.mp3;06:07
61;Surat  As-Saf;https://www.quran.com/61;https://download.quranicaudio.com/quran/sodais_and_shuraim/061.mp3;03:52
62;Surat  Al-Jumu'ah;https://www.quran.com/62;https://download.quranicaudio.com/quran/sodais_and_shuraim/062.mp3;03:01
63;Surat  Al-Munafiqun;https://www.quran.com/63;https://download.quranicaudio.com/quran/sodais_and_shuraim/063.mp3;02:44
64;Surat  At-Taghabun;https://www.quran.com/64;https://download.quranicaudio.com/quran/sodais_and_shuraim/064.mp3;03:25
65;Surat  At-Talaq;https://www.quran.com/65;https://download.quranicaudio.com/quran/sodais_and_shuraim/065.mp3;04:04
66;Surat  At-Tahrim;https://www.quran.com/66;https://download.quranicaudio.com/quran/sodais_and_shuraim/066.mp3;03:46
67;Surat  Al-Mulk;https://www.quran.com/67;https://download.quranicaudio.com/quran/sodais_and_shuraim/067.mp3;05:56
68;Surat  Al-Qalam;https://www.quran.com/68;https://download.quranicaudio.com/quran/sodais_and_shuraim/068.mp3;05:30
69;Surat  Al-Haqqah;https://www.quran.com/69;https://download.quranicaudio.com/quran/sodais_and_shuraim/069.mp3;05:25
70;Surat  Al-Ma'arij;https://www.quran.com/70;https://download.quranicaudio.com/quran/sodais_and_shuraim/070.mp3;03:19
71;Surat  Nuh;https://www.quran.com/71;https://download.quranicaudio.com/quran/sodais_and_shuraim/071.mp3;03:20
72;Surat  Al-Jinn;https://www.quran.com/72;https://download.quranicaudio.com/quran/sodais_and_shuraim/072.mp3;03:48
73;Surat  Al-Muzzammil;https://www.quran.com/73;https://download.quranicaudio.com/quran/sodais_and_shuraim/073.mp3;03:38
74;Surat  Al-Muddaththir;https://www.quran.com/74;https://download.quranicaudio.com/quran/sodais_and_shuraim/074.mp3;03:42
75;Surat  Al-Qiyamah;https://www.quran.com/75;https://download.quranicaudio.com/quran/sodais_and_shuraim/075.mp3;02:18
76;Surat  Al-Insan;https://www.quran.com/76;https://download.quranicaudio.com/quran/sodais_and_shuraim/076.mp3;03:40
77;Surat  Al-Mursalat;https://www.quran.com/77;https://download.quranicaudio.com/quran/sodais_and_shuraim/077.mp3;03:43
78;Surat  An-Naba;https://www.quran.com/78;https://download.quranicaudio.com/quran/sodais_and_shuraim/078.mp3;03:31
79;Surat  An-Nazi'at;https://www.quran.com/79;https://download.quranicaudio.com/quran/sodais_and_shuraim/079.mp3;03:06
80;Surat  'Abasa;https://www.quran.com/80;https://download.quranicaudio.com/quran/sodais_and_shuraim/080.mp3;02:34
81;Surat  At-Takwir;https://www.quran.com/81;https://download.quranicaudio.com/quran/sodais_and_shuraim/081.mp3;01:46
82;Surat  Al-Infitar;https://www.quran.com/82;https://download.quranicaudio.com/quran/sodais_and_shuraim/082.mp3;01:19
83;Surat  Al-Mutaffifin;https://www.quran.com/83;https://download.quranicaudio.com/quran/sodais_and_shuraim/083.mp3;02:56
84;Surat  Al-Inshiqaq;https://www.quran.com/84;https://download.quranicaudio.com/quran/sodais_and_shuraim/084.mp3;01:50
85;Surat  Al-Buruj;https://www.quran.com/85;https://download.quranicaudio.com/quran/sodais_and_shuraim/085.mp3;01:54
86;Surat  At-Tariq;https://www.quran.com/86;https://download.quranicaudio.com/quran/sodais_and_shuraim/086.mp3;01:00
87;Surat  Al-A'la;https://www.quran.com/87;https://download.quranicaudio.com/quran/sodais_and_shuraim/087.mp3;01:05
88;Surat  Al-Ghashiyah;https://www.quran.com/88;https://download.quranicaudio.com/quran/sodais_and_shuraim/088.mp3;01:17
