number;name;read_surat_link;download_surat_link;surat_time
1;Surat  Al-Fatihah;https://www.quran.com/1;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/001.mp3;00:40
2;Surat  Al-Baqarah;https://www.quran.com/2;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/002.mp3;01:56:01
3;Surat  Ali 'Imran;https://www.quran.com/3;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/003.mp3;01:12:37
4;Surat  An-Nisa;https://www.quran.com/4;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/004.mp3;01:17:48
5;Surat  Al-Ma'idah;https://www.quran.com/5;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/005.mp3;58:52
6;Surat  Al-An'am;https://www.quran.com/6;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/006.mp3;01:02:07
7;Surat  Al-A'raf;https://www.quran.com/7;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/007.mp3;01:10:01
8;Surat  Al-Anfal;https://www.quran.com/8;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/008.mp3;24:25
9;Surat  At-Tawbah;https://www.quran.com/9;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/009.mp3;47:13
10;Surat  Yunus;https://www.quran.com/10;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/010.mp3;35:13
11;Surat  Hud;https://www.quran.com/11;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/011.mp3;36:05
12;Surat  Yusuf;https://www.quran.com/12;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/012.mp3;33:21
13;Surat  Ar-Ra'd;https://www.quran.com/13;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/013.mp3;16:16
14;Surat  Ibrahim;https://www.quran.com/14;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/014.mp3;16:41
15;Surat  Al-Hijr;https://www.quran.com/15;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/015.mp3;13:27
16;Surat  An-Nahl;https://www.quran.com/16;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/016.mp3;35:45
17;Surat  Al-Isra;https://www.quran.com/17;https://download.quranicaudio.com/quran/tawfeeq_bin_saeed-as-sawaaigh/017.mp3;30:33
